maleWords,femaleWords
1818,474
1757,465
1945,387
2086,426
2232,432
2152,361
2062,421
2187,385
2120,346
1956,437
1935,491
2142,402
1966,437
2052,314
2118,413
2084,430
2080,413
2048,452
1996,334
1940,346
2022,387
1915,394
1960,352
2117,421
2057,448
2156,399
1912,349
1804,335
2070,385
2007,345
2102,454
1997,468
1966,387
2164,508
2215,388
2003,422
2055,416
2102,424
2031,442
1886,540
2163,433
1986,468
2137,438
1842,439
2051,422
2034,402
1936,317
2112,439
2167,401
2014,408
2055,447
2162,416
2211,443
1932,416
2031,401
2211,400
2215,411
1972,299
2134,376
2032,502
2013,451
1866,389
2158,465
1903,481
2224,403
2146,396
2021,432
1929,459
1921,402
1984,440
2145,359
1920,326
2066,401
1922,384
1992,400
2195,443
2049,485
2209,353
1991,360
2114,418
2057,353
1750,456
2004,408
2150,407
2048,429
1952,394
2085,427
2076,419
2010,392
2202,417
2100,470
2129,509
1849,468
1951,478
2065,375
1965,384
1960,385
2117,441
1994,412
2046,416
