maleWords,femaleWords
807,616
838,553
797,572
796,618
745,574
834,604
805,584
814,587
850,624
762,582
832,603
790,614
815,575
822,611
819,547
849,593
817,559
827,615
798,612
760,558
825,557
803,595
848,606
843,557
811,598
822,597
755,623
815,561
815,576
771,595
821,571
828,601
823,581
801,600
845,584
793,609
806,558
803,614
830,549
834,572
819,559
786,611
833,646
819,591
830,599
817,602
812,616
809,627
785,536
794,577
800,599
823,596
775,581
856,597
841,573
798,609
802,561
859,552
812,577
805,579
843,631
828,619
827,605
818,585
812,586
877,554
825,576
827,619
797,589
822,610
764,624
805,551
796,616
829,623
791,522
804,602
796,541
783,595
805,583
827,574
848,600
784,586
779,638
820,571
784,579
781,576
767,608
813,622
796,608
802,574
802,647
810,611
793,598
795,650
839,577
835,607
821,626
818,579
829,597
804,617
