speaker,speakerGender,dialogueToMalePC,dialogueToFemalePC,dialogueToMalePC.length,dialogueToFemalePC.length,charDifference,Verdict,Comment
Abigail,Female,"You're an interesting guy, @. I'm glad you moved here.","You're an interesting lady, @. I'm glad you moved here.",54,55,3,Neutral,
Alex,Male,"Oh, hey. So you're the new guy, huh? Cool.","Hey, you're the new girl, huh? I think we're going to get along great. I'm Alex.",42,80,57,Gender-specific flirting,Flirts with female. 
Alex,Male,"*sigh*... I wish there were more girls in this town, know what I mean?","Hey, do you wanna hang out with me at the beach some time? Do you have a bikini?",70,80,60,Gender-specific flirting,Flirts with female. 
Alex,Male,"I'd ask you to throw the ball around, but you don't really seem like the sports type.",If you weren't a girl I'd ask you to play catch.,85,48,60,Mixed,"Mild subversion of male stereotype ('men like sports'), although note that there's nothing gendered in the language targeted at the male - treats them just like a person. Perpetuation of negative female stereotype ('throw like a girl' - trope: ""Gendered Insult"")"
Alex,Male,"Hey, what's up farmer guy?","Hey, it's farm girl. Did you get new pants? You're doing something right.",26,73,58,Gender-specific flirting,Flirts with female. 
Alex,Male,Hi @. You look sporty today.,Hey @. Did you do something different with your hair? Something keeps grabbing my attention.,28,92,73,Gender-specific flirting,Flirts with female. 
Alex,Male,"Hey, farmer guy. You look a little burnt.",Hey Farmer girl. You've got a nice tan going.,41,45,21,Gender-specific flirting,Flirts with female. This is weird. Why is a tan nice on a girl but not on a guy? 
Alex,Male,"Hey farm guy, I've got a question for you.","Hey Farm girl, I've got a question for you.",42,43,4,Neutral,
Alex,Male,That's insane. You're just jealous that I'm talented and popular and you're not.,"That's ridiculous. You're just jealous that I'm way more popular than you'll ever be, freak.",80,92,37,Neutral,"This is pretty insulting either way, but I'm not aware of any particular gender connotations with 'freak'. "
Alex,Male,"Hey, you must be getting pretty strong working on that farm all day.","Hey, you must be getting pretty fit working on that farm all day.",68,65,6,Perpetuate,"Men are strong, women are fit."
Alex,Male,"Hey, I want to ask you something.","Hey, can I ask you something?",33,29,7,Neutral,
Alex,Male,Do you think the ladies like my haircut?,What do you think about my haircut?,40,35,20,Neutral,"Not the same words, but I don't take this to be perpetuating or subverting any tropes. "
