location	name
BESAID	Yuna's little friend
BESAID	Besaid Old Woman
BESAID	Priestess
BESAID	Refugee
BESAID	Journeyman Weaver
BESAID	Weaver
BESAID	"Old Coot"
BESAID	Fabric merchant
BESAID	Pious woman
BESAID	Kindly old priest
BESAID	Vilucha's son
BESAID	Besaid Handyman
BESAID	Gramps
BESAID	Gatekeeper
BESAID	Portly Crusader
BESAID	Older boy
BESAID	Besaid Temple Summoner
BESAID	Crusader behind podium
BESAID	Other boy with green headband
BESAID	Sailor w/blue cap
BESAID	Helmsman (S. S. Liki)
BESAID	Crusader in green on end of dock
KILIKA	Kilika Handyman
KILIKA	Ferry Greeter
KILIKA	A not-so-handyman
KILIKA	Isken's friend
KILIKA	Kilika Innkeeper
KILIKA	Kulukan's little sister
KILIKA	Grieving woman looking out to sea
KILIKA	Old woman merchant
KILIKA	Crusader in RWB (Kilika)   
KILIKA	Crusader slumped against bar,
KILIKA	Barechested guy outside inn
KILIKA	Blitzball Kid
KILIKA	Old Man (Grandfather) 
KILIKA	Kilika Old Man
KILIKA	Former Blitzer
KILIKA	Man leaving Kilika
KILIKA	Woman leaving Kilika
KILIKA	Female Crusader in Red (Kilika)
KILIKA	Tourist
KILIKA	Nervous monk in hat
KILIKA	Kilika Priest
KILIKA	Studious Little Nun,
KILIKA	Playful Little Nun,
KILIKA	Old priest with hat (monk chamber),
KILIKA	Another Captain Nopants north of Ochu
KILIKA	Officer in need of pants
KILIKA	Pair of Crusaders talking to Captain Nopants%
LUCA	Adult Crusader (back by the data console)
LUCA	Beaky guy on left
LUCA	Beaky guy on right
LUCA	Little Crusader (Sphere Theatre)
LUCA	Guard on side path
LUCA	Macho sailor
LUCA	Adult Ronso
LUCA	Ronso girl
LUCA	Female warrior monk on stadium end of causeway
LUCA	Little nun (Sphere Theatre)
LUCA	Luca guard in blue barring the wrong way
LUCA	Spoony
LUCA	Man in white and blue (Luca)
LUCA	Man wrapped in long brown coat - previously from Bevelle
LUCA	Warrior monk (Dock 1)
LUCA	Warrior monk (Dock 5)
LUCA	Warrior monk at bar
LUCA	Hypello adult
LUCA	Hypello child
LUCA	Sailor in blue (Dock 1)
LUCA	Al Bhed in brown vest
LUCA	Crusader captain
LUCA	Guard at righthand exit (FoS)
LUCA	Guard at lefthand exit (FoS)
LUCA	Guard (Dock 2 left)
LUCA	Roving guard in gray (FoS)
LUCA	Roving guard in blue (FoS)
LUCA	Bare-legged Crusader (Luca)
LUCA	Female warrior monk
LUCA	Receptionist
LUCA	Pom-pom lady,
LUCA	Warrior monk (Dock 4),
LUCA	Warrior monk (FoS)
LUCA	Al Bhed in red vest (Cafe)
LUCA	Al Bhed in bright red vest (FoS) 
LUCA	Little beaky guy (Cafe)
LUCA	Guy in khaki (Cafe)
LUCA	Cafe Guard in Gray
LUCA	Crusader at bar
LUCA	Cafe Barkeeper
LUCA	Midriff-baring lady in blue in cafe
LUCA	Guard (Dock 2)
LUCA	Guard (Dock 3)
LUCA	Guard (Dock 4)
LUCA	Guard (Dock 5)
LUCA	Stooped Guado
LUCA	Tall Guado
LUCA	Warrior monk by Mika's ship
