"file","conversation","name","gender","Line1","Line2","Line3"
BIOA_FRE34_00_DSG.SFM,cha00_trig_garrus_dlg,,,"Looks like Saleon is doing more than cloning organs.","Commander. That's him. That's Dr. Saleon.","Positive.","There's no escape this time, Doctor. I'd harvest your organs first, but we don't have the time."
BIOA_STA60_04_DSG.SFM,sta00_cab_dlg,,,"","You have no available Citadel Rapid Transit destinations.","Please choose a Citadel Rapid Transit destination.","Presidium Locations"
BIOA_STA60_05A_DSG.SFM,sta60_amb_choras_patron02_dlg,,,"I got business here, but not with you.","Human military, huh?","Not now.","Why don't you go watch the dancers?"
BIOA_STA60_05A_DSG.SFM,sta60_post_harkin_dlg,,,"Good to see you, Commander. Come back to show 'em how it's done?","They've gotten a little soft, if you ask me. The competition will do them good.","Just tell Ochren you're back, and he'll set everything up.","Those? Nah. If you can cover the charges, you can have whatever's in them."
BIOA_JUG20_08_DSG.SFM,jug20_amb_liara_dlg,,,"","","I can only imagine what we will find in Saren's facility.","Your ability to calm the krogan is impressive."
BIOA_JUG20_08_DSG.SFM,jug20_amb_ashley_dlg,,,"It won't be an easy fight, but we're ready when you are.","","Just say the word. I'm ready to go.","I'd rather have Wrex on our side, but he chose his path."
BIOA_JUG20_08_DSG.SFM,jug20_amb_stgop1_dlg,,,"","The krogan never change, never adapt. No wonder they've stagnated.","This mission takes precedence over the fate of individuals.",""
BIOA_STA20_06_DSG.SFM,sta20_asari_employee02_dlg,,,"","You're with the Alliance? My brother's a private back on Earth.","The Consort is a wonderful person. She has quite a gift.",""
BIOA_STA20_02C_DSG.SFM,sta00_cab_dlg,,,"","You have no available Citadel Rapid Transit destinations.","Please choose a Citadel Rapid Transit destination.","Presidium Locations"
BIOA_NOR10_11_DSG.SFM,nor20_req_officer_dlg,,,"Looking for supplies?","","Whatever you want. Armor, weapons, mods... it's not standard Alliance issue, but that's not necessarily a bad thing.","Well, as long as you don't mind paying for it."
BIOA_STA30_01_DSG.SFM,sta00_cab_dlg,,,"","You have no available Citadel Rapid Transit destinations.","Please choose a Citadel Rapid Transit destination.","Presidium Locations"
BIOA_STA60_09A_DSG.SFM,sta60_jenna_dlg,,,"","Hey there. Welcome to Flux.","I'll be right over.","Take a seat. Someone will be with you soon."
BIOA_STA60_02a_DSG.SFM,sta20_trig_fan_dlg,,,"I've got an idea, and I wanted to run it by you.","So that's how it is? The rest of us should just let you reap the fame and glory?","You're not the only one who can stand up for humanity! I'll show you!","Great! This will just take a minute."
BIOA_STA30_05a_DSG.SFM,sta00_popup_text_dlg,,,"You must talk to the Council to gain access to the Wards.","The keeper scan has been uploaded to the database.","You do not have the proper keycard.","Get to the Quarian and warn her before it's too late!"
BIOA_STA30_04A_DSG.SFM,sta30_officer_01_dlg,,,"Hello, Commander.","Can't help you right now.","Been to Flux's yet?","Sorry, Commander. I'm just waiting for a report from my supervisor."
BIOA_JUG20_08_DSG.SFM,jug20_amb_kaidan_dlg,,,"","","This won't be easy, but it's what we train for.","Nice work with Wrex. I didn't think anything would calm him down."
BIOA_STA20_02D_DSG.SFM,sta00_cab_dlg,,,"","You have no available Citadel Rapid Transit destinations.","Please choose a Citadel Rapid Transit destination.","Presidium Locations"
BIOA_STA30_02A_DSG.SFM,sta30_snap_inspection_dlg,,,"Commander. I'm not happy.","Who designed that CIC? Putting the commander aft of everyone else is inefficient. What if he needs to discuss with the operators toward the bow?","No, Commander. That's something that you get right the first time.","I had to shake my head at that drive core of yours. 120 billion credits of element zero to make this thing able to move without giving itself away."
