Conversation,Owner,File
combat_banter_00_dlg,Not found,BIOA_END00
combat_banter_00_dlg,Not found,BIOA_CRD00
combat_banter_00_dlg,Not found,BIOA_JUG00
combat_banter_00_dlg,Not found,BIOA_ICE00
combat_banter_00_dlg,Not found,BIOA_LAV00
combat_banter_00_dlg,Not found,BIOA_NOR00
los10_banter_00_dlg,Not found,BIOA_LOS00
combat_banter_00_dlg,Not found,BIOA_LOS00
pro10_banter_00_dlg,hench_jenkins,BIOA_PRO00
combat_banter_00_dlg,Not found,BIOA_PRO00
sta00_cabarrival_dlg,Not found,BIOA_STA00
sta00_cab_dlg,Not found,BIOA_STA00
combat_banter_00_dlg,Not found,BIOA_STA00
combat_banter_00_dlg,Not found,BIOA_WAR00
end90_council_alive_dlg,end95_human_ambassador,BIOA_CRD00_00_DSG
end90_council_alive_dlg,end95_human_ambassador,BIOA_CRD00_00_DSG
end90_council_dead_dlg,end95_human_ambassador,BIOA_CRD00_00_DSG
end90_council_dead_dlg,end95_human_ambassador,BIOA_CRD00_00_DSG
end00_banter_00_dlg,Not found,BIOA_END70_00_DSG
end20_avina_dlg,sta20_avina,BIOA_END20_02_DSG
end00_banter_00_dlg,Not found,BIOA_END20_02_DSG
end90_choice_dlg,hench_pilot,BIOA_END70_02C_DSG
end90_choice_dlg,hench_pilot,BIOA_END70_02C_DSG
end80_banter_01_dlg,Not found,BIOA_END80_00_DSG
end90_saren_dlg,saren,BIOA_END70_02B_DSG
unc_banter_00_dlg,Not found,BIOA_FRE31
combat_banter_00_dlg,Not found,BIOA_FRE31
unc_banter_00_dlg,Not found,BIOA_FRE32
combat_banter_00_dlg,Not found,BIOA_FRE32
unc_banter_00_dlg,Not found,BIOA_FRE33
combat_banter_00_dlg,Not found,BIOA_FRE33
unc_banter_00_dlg,Not found,BIOA_FRE34
combat_banter_00_dlg,Not found,BIOA_FRE34
unc_banter_00_dlg,Not found,BIOA_FRE35
combat_banter_00_dlg,Not found,BIOA_FRE35
ice50_banter_00_dlg,Not found,BIOA_ICE20_00_DSG
ice20_banter_00_dlg,Not found,BIOA_ICE20_00_DSG
ice20_giannaparasini_dlg,ice20_giannaparasini,BIOA_ICE20_03B_DSG
ice20_opold_dlg,ice20_opold,BIOA_ICE20_03D_DSG
ice20_giannaparasini_dlg,ice20_giannaparasini,BIOA_ICE20_03B_DSG
ice20_trig14_gianna_hint_dlg,ice20_giannaparasini,BIOA_ICE20_03B_DSG
ice20_ambient_investigator_dlg,ice_hmm_investigator,BIOA_ICE20_03A_DSG
ice20_anoleis_dlg,ice20_anoleis,BIOA_ICE20_03A_DSG
ice20_trig08_maeko_dbl_homocide_dlg,ice20_maekomatsuo,BIOA_ICE20_03A_DSG
ice20_lilihierax_dlg,ice20_lilihierax,BIOA_ICE20_04_DSG
ice20_trig04_gianna_intercept_dlg,ice20_giannaparasini,BIOA_ICE20_04_DSG
ice20_kairastirling_dlg,ice20_kairastirling,BIOA_ICE20_01A_DSG
ice20_maekomatsuo_dlg,ice20_maekomatsuo,BIOA_ICE20_01A_DSG
ice20_giannaparasini_dlg,ice20_giannaparasini,BIOA_ICE20_01A_DSG
ice20_trig02_maeko_greet_dlg,ice20_maekomatsuo,BIOA_ICE20_01A_DSG
ice20_trig13_liara_disquiet_dlg,hench_asari,BIOA_ICE20_01A_DSG
ice20_ambient_business_female_1_dlg,Not found,BIOA_ICE20_03_DSG
ice20_ambient_corpguard_1_dlg,Not found,BIOA_ICE20_03_DSG
ice20_ambient_business_female_2_dlg,Not found,BIOA_ICE20_03_DSG
ice20_ambient_corpguard_2_dlg,Not found,BIOA_ICE20_03_DSG
ice20_ambient_business_male_2_dlg,Not found,BIOA_ICE20_03_DSG
ice20_kairastirling_dlg,ice20_kairastirling,BIOA_ICE20_06_DSG
ice20_trig11_si_guards_dlg,ice20_si_guard,BIOA_ICE20_06_DSG
ice50_banter_00_dlg,Not found,BIOA_ICE25_00_DSG
ice20_trig09_maeko_post_garage_dlg,ice20_maekomatsuo,BIOA_ICE20_09_DSG
ice20_trig07_garage_dlg,ice_ercs_guard1,BIOA_ICE20_09_DSG
ice20_trig07_garage_dlg,ice_ercs_guard1,BIOA_ICE20_09_DSG
ice50_amb_announcements_dlg,ice50_mira,BIOA_ICE50_00_DSG
ice50_banter_00_dlg,Not found,BIOA_ICE50_00_DSG
