folder,game,VGDCName,TvTName,tropeName,subverted,tropeNotes,tropeURL
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Afraid of Their Own Strength,0," [Afraid of Their Own Strength](/pmwiki/pmwiki.php/Main/AfraidOfTheirOwnStrength): Kaidan has struggled with this ever since he accidentally killed a [Drill Sergeant Nasty](/pmwiki/pmwiki.php/Main/DrillSergeantNasty) [in self-defense](/pmwiki/pmwiki.php/Main/AssholeVictim) and terrified the girl he was trying to protect to begin with. Kaidan has held back his powers ever since out of fear of hurting someone like that again, which is why, despite being one of the strongest human biotics on record, he turned down the Alliance's offer to train him as an Adept in favor of becoming a Sentinel instead. Eden Prime makes Kaidan realize that he can't afford to hold back anymore.",/pmwiki/pmwiki.php/Main/AfraidOfTheirOwnStrength
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,All Love Is Unrequited,0," [All Love Is Unrequited](/pmwiki/pmwiki.php/Main/AllLoveIsUnrequited): Dialogues imply that he harbors feelings for Shepard (irrespective of gender) since the first game, but never acts on it because he is mindful of the hierarchy and because he believes that Shepard's [Married to the Job](/pmwiki/pmwiki.php/Main/MarriedToTheJob). Obviously averted if Shepard choose to romance him, but played straight if they romance anyone but him.",/pmwiki/pmwiki.php/Main/AllLoveIsUnrequited
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,All of the Other Reindeer,0," [All of the Other Reindeer](/pmwiki/pmwiki.php/Main/AllOfTheOtherReindeer): Kaidan rarely talks about it, but it is implied that people frequently give him a wide berth due to his biotics, and he is acutely aware of the fact that human biotics are still considered freaks by most. The outdated implants don't help matters.",/pmwiki/pmwiki.php/Main/AllOfTheOtherReindeer
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Amicable Exes,0," [Amicable Exes](/pmwiki/pmwiki.php/Main/AmicableExes): If he and Shepard had something going in *1* and don't get back together in *3*, he takes it significantly better than Ashley and still gets along well with the commander.",/pmwiki/pmwiki.php/Main/AmicableExes
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Anger Born of Worry,0," [Anger Born of Worry](/pmwiki/pmwiki.php/Main/AngerBornOfWorry): If he's romanced and taken to the final mission of *Leviathan*, he's not happy about Shepard almost getting themself killed.
QUOTE **Kaidan:** Never do that again.
",/pmwiki/pmwiki.php/Main/AngerBornOfWorry
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Animal Wrongs Group,0, [Animal Wrongs Group](/pmwiki/pmwiki.php/Main/AnimalWrongsGroup): One of his strategies for distracting the guards at the Silver Coast Casino is to claim to belong to one of these.,/pmwiki/pmwiki.php/Main/AnimalWrongsGroup
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Armor Is Useless,0," [Armor Is Useless](/pmwiki/pmwiki.php/Main/ArmorIsUseless):  (SPOILER)  If Shepard is forced to shoot him, they only shoot him once with the Predator, the weakest pistol in the game. Despite wearing heavy armor, having kinetic barriers that have withstood dozens of bullets in cutscenes, a personal ability that makes said kinetic barriers even stronger, and having medigel on hand just in case he gets shot, the bullet goes right through him and he dies a few minutes after .",/pmwiki/pmwiki.php/Main/ArmorIsUseless
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Asskicking Leads to Leadership,0," [Asskicking Leads to Leadership](/pmwiki/pmwiki.php/Main/AsskickingLeadsToLeadership): During the first act of the third game,  (SPOILER) he's made a Spectre . He also technically *outranks* Shepard after getting promoted to Staff Commander in the second game and then Major in the third  (SPOILER)  provided he lives that long .",/pmwiki/pmwiki.php/Main/AsskickingLeadsToLeadership
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,"Attention Deficit... Ooh, Shiny!",0," [Attention Deficit... Ooh, Shiny!](/pmwiki/pmwiki.php/Main/AttentionDeficitOohShiny): Kaidan is prone to the occasional non-sequitur and odd, childlike observation.",/pmwiki/pmwiki.php/Main/AttentionDeficitOohShiny
../data/MassEffect/MassEffect1B/,Mass Effect,Kaidan Alenko,Kaidan Alenko,Badass Bookworm,0," [Badass Bookworm](/pmwiki/pmwiki.php/Main/BadassBookworm): He is a skilled technician and field medic, which are his official roles in the Alliance. Considering real-world standards for military officers, Kaidan likely has at least one advanced degree.",/pmwiki/pmwiki.php/Main/BadassBookworm
