maleWords,femaleWords
14590,9854
14528,9565
14393,9988
13957,9123
14569,9648
14800,9857
14200,9381
14192,9198
13982,9405
13582,8796
13956,9572
14661,9667
13572,9247
13837,9649
14164,9540
14069,9124
13496,9025
14127,9777
14297,9947
14210,9390
14381,9766
14131,9322
14295,8914
15763,8893
14396,9668
13501,9326
13224,9948
14469,9855
13817,9259
14162,9685
15146,9341
14538,9306
14637,9105
14507,9145
13922,9685
14272,9645
14042,9334
13817,9149
14804,9140
13787,9895
14741,9127
14325,9166
13916,9749
13176,9064
13846,9562
14259,9060
15021,9177
14406,9542
14398,9193
14569,9739
13806,8689
13771,9020
14592,9625
14616,9495
13035,9134
14196,9522
13223,9101
14066,9522
13796,9724
13568,9728
14405,9589
13640,9238
13800,9484
14147,9262
13221,9346
14722,8791
14810,9159
14116,9326
14461,8946
15480,9408
15029,9456
14376,8734
14210,9617
14083,8987
14764,9201
14098,9277
13376,9989
14127,9207
14173,9040
14368,8785
14087,9229
14158,8970
13639,9320
13986,9642
14425,9446
14566,9789
14284,9100
14299,8938
14684,8930
15348,9179
13721,9070
14166,9175
13873,8871
12772,9162
14163,9735
14423,9251
14104,9852
13783,8400
13817,9447
14036,9106
