VGDCName,TvTName,type,url,comment
Kaidan Alenko,Kaidan Alenko,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectKaidanAlenko,
Ashley Williams,Ashley Williams,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectAshleyWilliams,
Garrus Vakarian,Garrus Vakarian,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectGarrusVakarian,
Liara T'Soni,Liara T'Soni,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectLiaraTSoni,
Tali'Zorah,Tali'Zorah,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectTaliZorah,
Urdnot Wrex,Urdnot Wrex,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectUrdnotWrex,
Antagonists,Antagonists,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect1Antagonists,
NPCs,NPCs,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect1Npcs,
GuestPartyMembers,GuestPartyMembers,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect1PartyMembers,
Miranda Lawson,Miranda Lawson,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectMirandaLawson,
Jack,Jack,main,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffectJack,
Early Party Members,Early Party Members,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2EarlyPartyMembers,
Late Party Members,Late Party Members,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2LatePartyMembers,
Secret Party Members,Secret Party Members,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2SecretPartyMembers,
Main Antagonists,Main Antagonists,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2MainAntagonists,
Secondary Antagonists,Secondary Antagonists,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2SecondaryAntagonists,
Normandy Crew,Normandy Crew,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2NormandyCrew,
Council Space NPCs,Council Space NPCs,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2CouncilSpaceNPCs,
Non-Council Space NPCs,Non-Council Space NPCs,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect2NonCouncilSpaceNPCs,
Party Members,Party Members,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect3PartyMembers,
Antagonists and NPCs,Antagonists and NPCs,minor,https://tvtropes.org/pmwiki/pmwiki.php/Characters/MassEffect3AntagonistsAndNpcs,

