"GOTO" :15959,
"ACTION" :11873,
"CHOICE" :7826,
"Hawke" :6219,
"Aveline" :1604,
"Anders" :1561,
"Varric" :1448,
"Merrill" :1387,
"Isabela" :1314,
"Fenris" :1293,
"Carver" :629,
"Bethany" :581,
"Sebastian" :576,
"Meredith" :348,
"Arishok" :316,
"Grand Cleric Elthina" :233,
"Gamlen" :232,
"Cullen" :213,
"Leandra" :192,
"Bodahn Feddic" :183,
"Petrice" :169,
"Keeper Marethari" :158,
"Orsino" :158,
"Thrask" :146,
"Bran" :139,
"Viscount Dumar" :136,
"Hubert" :115,
"Arianni" :113,
"Feynriel" :107,
"Cassandra" :105,
"Flemeth" :103,
"Bartrand" :98,
"Alistair" :96,
"Saemus" :91,
"Emeric" :87,
"Keran" :86,
"Donnic" :85,
"Gascard" :84,
"Samson" :84,
"Javaris" :82,
"Grace" :82,
"Dog" :73,
"Dougal" :70,
"Zevran" :67,
"Nathaniel" :67,
"Meeran" :66,
"Athenril" :64,
"Martin" :63,
"Varric (Removed Line)" :63,
"Corff" :56,
"Orana" :55,
"Alain" :54,
"Sandal" :54,
"Jansen" :53,
"Madam Lusine" :53,
"Solivitus" :52,
"Ghyslain" :50,
"Maraas" :48,
"Moira" :46,
"Justice" :44,
"Nyssa" :42,
"Ketojan" :41,
"Quintus" :41,
"Arvaarad" :40,
"Vincento" :40,
"Karras" :40,
"Emile De Launcet" :39,
"Yevhen" :38,
"Macha" :38,
"Magistrate Vanard" :37,
"Harley" :37,
"Torpor" :36,
"Wesley" :36,
"Brennan" :36,
"Lirene" :36,
"Cavril" :35,
"Merrill (Removed Line)" :34,
"Charade" :33,
"Idunna" :33,
"Master Ilen" :33,
"Captain Ewald" :32,
"Lia" :32,
"Wandering Priest F" :32,
"Viveka" :31,
"Norah" :31,
"Fenarel" :31,
"Removed Line" :31,
"Jethann" :30,
"Lowlife M1" :30,
"Iwan" :29,
"Orwald" :28,
"Alienage Elf M1" :28,
"Hawke (Removed Line)" :28,
"Comtesse Dulci de Launcet" :27,
"Rock Demon" :27,
"Overseer" :27,
"Elren" :26,
"Elsa" :26,
"Walter" :26,
"Female Sex Worker" :26,
"Sabin" :25,
"Varnell" :24,
"Nuncio" :24,
"Emrys" :24,
"Alienage Elf F1" :24,
"Ser Mettin" :24,
"Stroud" :24,
"Arishok Guard" :24,
"Worthy" :24,
"Tomwise" :24,
"Aden" :23,
"Alienage Elf M2" :23,
"Alienage Elf F2" :23,
"Anso" :23,
"Porfiria" :23,
"Kelder" :22,
"Shp Mag Guard" :22,
"Joric (Hightown Guard)" :22,
"Male Dockworker" :22,
"Chandan" :22,
"Quentin" :21,
"Comte Guillaume de Launcet" :21,
"Wryme" :21,
"Sergeant Joanna" :21,
"Hightown Gossip 3" :21,
"Hireling 1" :21,
"Guardsman Wright" :21,
"Talkative Man" :21,
"Sister Lorena" :21,
"Ineria" :21,
"Friedrich" :20,
"Hugh" :20,
"Urchin Boy" :20,
"Beggar M1" :20,
"Hightown Female Guard 1" :20,
"Male Sailor" :20,
"Elven Dockworker" :20,
"Female Sailor" :20,
"Wandering Merchant" :20,
"Merchant Generic" :20,
"Weaponsmith (Lowtown Smithy)" :20,
"Korval (Korval's Blades)" :20,
"Pol" :20,
"Jeven" :20,
"Dera" :19,
"Drunk M1" :19,
"Mistress Selby" :19,
