maleWords,femaleWords
8982,5221
9435,5865
9654,5542
9351,6196
9466,5975
8810,5456
9376,5615
9291,5657
9677,6063
9144,5558
8714,5766
8954,5422
9234,5509
9405,5495
9099,5252
9191,5571
9352,5578
9257,5651
8993,5708
9721,5566
8951,5816
9046,5495
9567,5229
9685,5171
10159,5581
8928,5425
9357,5285
9843,5083
9410,5525
9049,5538
8786,5722
10058,6310
8821,5217
9425,5899
8811,5373
9059,4951
9099,5661
9877,5592
9178,5353
9491,5558
9468,5155
8623,5979
8755,5733
9057,5405
9645,5250
8681,5663
9983,5804
9347,5408
8633,5326
9113,5773
9321,5551
9318,5776
9846,5651
9346,5587
9786,5769
8956,5427
9086,5605
8919,5809
9662,5682
9455,5508
9016,5374
9251,5778
9057,5724
9576,5793
8825,5854
8644,5037
9055,5182
9179,5981
9424,5415
10247,5963
9137,5231
9067,5359
8985,5756
8912,5812
8899,5396
9812,5846
8811,5381
9003,5371
9453,5706
8709,5421
9054,5796
9606,5579
9259,5859
8915,5389
9536,5653
8843,5087
9624,5734
9121,5404
8752,5900
8528,5649
9052,5718
8899,5313
9590,5786
9495,5770
9031,5876
10027,5849
9071,5023
9192,5439
8525,5469
9379,5770
