maleWords,femaleWords
3893,996
4432,1371
4586,1148
4124,1521
4243,951
5434,1245
3958,1435
4426,1459
4101,1000
4656,953
4523,1305
4020,1021
4311,636
5026,1251
4449,1636
3778,855
4903,1348
3827,1309
4929,1145
5156,1315
4730,1611
3310,1169
4863,853
4286,1296
4450,1214
3667,1585
4074,1489
5074,1506
4248,1199
4532,1423
4174,1518
4190,923
4482,1216
4617,1378
4686,1050
4102,1203
5318,1426
4489,1230
4490,1199
3905,1286
3857,1186
4214,920
5145,1619
4081,1139
4080,849
4598,1276
4231,1256
4471,1063
4691,1303
5239,1379
4727,1464
3889,1156
4092,1001
4395,811
3956,1342
3978,1177
4791,1156
4733,1153
3933,817
4311,1662
4822,1312
4216,1007
3671,1521
3643,1398
3901,1224
4413,779
4595,1034
4460,1447
3957,781
4467,1227
3725,1057
4826,1278
3485,1296
3806,1281
4477,1087
3757,931
5070,1006
5217,1402
4354,1079
4489,1472
4610,1251
4390,1238
3027,1192
4449,1105
4420,1309
4419,1114
3780,1376
3864,1293
3814,1096
3551,1242
4768,1299
3559,1317
4657,615
3703,1143
4507,1007
3540,903
4090,1562
4653,1454
4330,1778
3890,1175
