"ACTION" :1742,
"LOCATION" :776,
"Vaan" :448,
"CHOICE" :259,
"Balthier" :255,
"Ashe" :136,
"Basch" :124,
"City Parijanah" :92,
"Penelo" :89,
"Fran" :75,
"Bhujerban Sainikah" :74,
"Imperial" :57,
"Larsa" :54,
"Ondore" :48,
"Vossler" :43,
"Vayne" :37,
"Tchigri" :34,
"Masyua" :33,
"Judge Ghis" :32,
"Jules" :29,
"Mjrn" :29,
"Huntmaster" :28,
"Gabranth" :28,
"Old Dalan" :27,
"Tomaj" :27,
"Jinn" :24,
"Kytes" :24,
"War-chief Supinelu" :23,
"Cid" :23,
"Cartographers' Guild" :23,
"Migelo" :23,
"Al-Cid" :21,
"Dantro's Wife" :21,
"Informed Shopkeep" :20,
"Reddas" :18,
"Drace" :17,
"Gramis" :16,
"STATUS" :16,
"Jote" :15,
"Burrogh" :15,
"Stok" :14,
"Blok" :14,
"Atak" :14,
"Dyce" :14,
"Reks" :14,
"Rimzat" :13,
"Ba'Gamnan" :13,
"Terra" :13,
"Rabanastran (boy in brown near bridge)" :13,
"The Moogles Eight" :12,
"Bill?" :12,
"Sandsea Moogle" :12,
"Tetran" :12,
"Chief Steward Ann" :11,
"Cab Guide" :11,
"Camina" :11,
"Lovestruck Man" :11,
"Imperial (Outside Eastgate)" :11,
"Ktjn" :10,
"Rikken" :10,
"Girl on an Errand" :10,
"Craftsmoogle (white-pommed moogle on bottom right)" :10,
"Anastasis" :10,
"Bergan" :10,
"Great Chief Uball-Ka" :10,
"Informed kid" :10,
"Cotze" :10,
"Chit" :9,
"Wandering Viera" :9,
"Occuria" :9,
"Sassan" :9,
"Miffed Moogle" :9,
"Tarot Reader" :9,
"Chopmaster" :9,
"Learned Man" :9,
"Lhusu Miner (black bangaa yelling at moogle up on ledge)" :9,
"Bhujerban (man sitting on rail speaking to other man and Imperial)" :9,
"Saloon Steward" :9,
"Rabanastran (boy sitting at right)" :9,
"Elder Brunoa" :9,
"Rasler" :9,
"Deweg" :8,
"Ruksel" :8,
"Rande" :8,
"Outfitters" :8,
"Gurdy" :8,
"High-chief Zayalu" :8,
"Garif Elder" :8,
"Bhujerban (woman in pink, green, and tan at edge)" :8,
"Bhujerban Guru (Mait's)" :8,
"Shop Clerk (Rithil's)" :8,
"Rabanastran (woman at left)" :8,
"Arjie" :8,
"Village Elder" :8,
"Hapless Merchant" :8,
"Imperial 2" :8,
"Agytha" :7,
"July" :7,
"Gibbs" :7,
"Archadian Wayfarer (Father)" :7,
"Scout (red bangaa)" :7,
"Asdalu" :7,
"Garif Warrior (on riverbank by two sparring partners)" :7,
"Lulucce" :7,
"Magu" :7,
"Cloudborne Patron (man standing beside collapsed bangaa)" :7,
"Bhujerban (woman in pink headscarf leaning on ledge)" :7,
"Bhujerban (man in green and brown shorts leaning against wall across from magickery)" :7,
"Bhujerban (woman talking to seated man)" :7,
"Bhujerban (woman in white leaning against armory wall)" :7,
"Northon" :7,
"Tott" :7,
"Rabanastran (woman in blue, pink, and green)" :7,
"Imperial (at the eastgate)" :7,
"Rabanastran (woman in pink headscarf)" :7,
"Bucco" :7,
"Renn" :6,
"Torrie" :6,
"Hunt Club Owner" :6,
"Whitecap Sister" :6,
"Farce-goer" :6,
"Archadian Wayfarer (Boy)" :6,
"Imperial (standing beside his friend)" :6,
"Geomancer Yugelu" :6,
"Garif Warrior" :6,
"Dilah" :6,
"Havharo" :6,
"Lhusu Miner (man sitting cross-legged on crate)" :6,
"Shop Clerk (orange seeq on upper level)" :6,
"Shop Clerk (moogle in blue with yellow pom-pom)" :6,
"Street Kid (Travica Way)" :6,
"Chief Steward Binastre" :6,
"Balzac" :6,
"Fussbudget" :6,
"Filo" :6,
"Roaklo" :6,
"Rabanastran (boy in blue down by Westgate)" :6,
"Rabanastran (boy in blue and green on south side of fountain)" :6,
"Dantro" :6,
"Rabanastran (woman in white speaking with group)" :6,
"Montblanc" :6,
"Tavernmaster" :6,
"Patient Bangaa" :6,
"Rabanastran (man in white, yellow, and brown)" :6,
"Busy Messenger" :6,
"Traveler (Muthru)" :6,
"Trader" :6,
"Novice Adventurer" :6,
"Rabanastran (black bangaa chatting with seeq)" :6,
"Chocobo Wrangler" :5,
"Fishing Enthusiast" :5,
"Dangerous Chef" :5,
"Look-alike (lower level)" :5,
"Lucky Man" :5,
"Waiting Woman" :5,
"Moogle Boss" :5,
