"file","conversation","name","gender","Line1","Line2","Line3"
BioD_KroN7b_500Backway_LOC_INT.pcc,kron7b_party_finalbattle_b_dlg,,,"Security override in effect."
BioD_Cat002_100Intro_LOC_INT.pcc,cat002_shuttle_exit_b_dlg,,,"All ships, finish them off!"
BioD_OmgJck_300MeetJack_LOC_INT.pcc,omgjck_joker_radio_a_dlg,,,"Getting paid to fly circles around Cerberus? Yeah, I could do this for a living."
BioD_Kro001_450SecondTrans_LOC_INT.pcc,kro001_combat1_b_dlg,,,"Take them out any way you can."
BioD_CerMir_550Miranda_LOC_INT.pcc,cermir_miranda_vid3_m_dlg,,,"Enemy on the roof!","On our six! You! Come with me!","Reinforcements arriving, sir!","Echo, Tango, and Delta squads are on the ground!"
BioD_CitHub_HospitalP3_LOC_INT.pcc,cit_fetch_reactor_i_dlg,,,"Any improvement?","Huh. Probably experimental. It's a long shot, but let's run some tests and see if it might work for our patient.","There's got to be something... I don't know what Cerberus was packing, but we're going to lose this patient.","Thank you!"
BioD_Kro001_150LandingUtil_LOC_INT.pcc,kro001_wrex_wreav_radio_a_dlg,,,"Here, Commander.","Things get worse by the minute. My men are dying!","Commander, come in!","Do you read, Commander? Repeat: Do you read?"
BioD_CitSam_200Maintenance_LOC_INT.pcc,citsam_banshee_wail_a_dlg,,,"Aaah!","Go go go! Move!","Yeah! One down!","Help us!"
BioD_Cat003_260LockersCombat_LOC_INT.pcc,cat003_csec_washroom_a_dlg,,,"Hold your fire! Friendly inbound!"
BioD_KroN7b_600BombFinal_LOC_INT.pcc,kron7b_reinforcements_b_dlg,,,"Help! We can't hold them much longer!","Please! Help us!","Oh, no! No!","Aaagh!"
BioD_KroGru_150Camp_LOC_INT.pcc,krogru_parting_ways_a_dlg,,,"When the moment is right, you know what you want.","You want a gentle touch. A revealing look. And clothing to match.","This One's Intimate Apparel. For all species who put on clothing... or take it off.","Thank you again, Earth-Clan. Our military strength is minimal, but we are proud to help as we can."
BioD_GthN7a_310Turret_LOC_INT.pcc,gthn7a_turret_warning_a_dlg,,,"Shepard, we've got Reaper signatures in orbit.","Diomedes team, we have hostiles at the perimeter!"
BioD_Kro001_202MeetEve_LOC_INT.pcc,kro001_basement_chatter_a_dlg,,,"Did that all really happen?","When can I go to the stars?","What will be there?","Can you tell me another story about the Shepard?"
BioD_Cat002_400Stalingrad_LOC_INT.pcc,cat002_asari_encounters_b_dlg,,,"This is it, everyone. The arms are opening.","Ten seconds to contact.","That's it! The Crucible is docked!","Shepard. Commander!"
