Conversation,Owner,File
cat002_shuttle_ride_m_dlg,hench_liara,BIOA_CAT002_050SHUTTLE
cat004_hangar_shuttle_m_dlg,hench_edi,BIOA_CAT004_000LEVELTRANS
cermir_shuttle_down_m_dlg,global_shuttle_pilot,BIOA_CERMIR_000LEVELTRANS
citprs_citadel_docking_v_dlg,global_joker,BIOA_CITHUB_000DOCKING
procit_council_m_dlg,global_udina,BIOA_CITHUB_COUNCIL
citsam_shuttledown_m_dlg,radio_edi,BIOA_CITSAM_000LEVELTRANS
gth001_umb_setup_m_dlg,hench_edi,BIOA_GTH001_000LEVELTRANS
gth002_legion_intro_m_dlg,global_legion,BIOA_GTH002_000LEVELTRANS
gthleg_shuttle_m_dlg,global_legion,BIOA_GTHLEG_000LEVELTRANS
gthn7a_shuttle_down_m_dlg,global_xen,BIOA_GTHN7A_000LEVELTRANS
kro001_shuttle_ride_in_m_dlg,no_owner,BIOA_KRO001_000LEVELTRANS
kro002_shuttle_ride_in_m_dlg,global_krogan_female,BIOA_KRO002_000LEVELTRANS
krogru_shuttle_in_v_dlg,no_owner,BIOA_KROGRU_000LEVELTRANS
kron7a_arrival_v_dlg,no_owner,BIOA_KRON7A_010LEVELTRANS
kron7b_missionbrief_v_dlg,kron7b_disgraced_turian,BIOA_KRON7B_000LEVELTRANS
n7_cer_hackett_d_dlg,global_hackett,BIOA_MPCER_000TRANSLEVEL
n7_dish_hackett_v_dlg,global_hackett,BIOA_MPDISH_000TRANSLEVEL
n7_slums_hackett_d_dlg,global_hackett,BIOA_MPSLUM_000TRANSLEVEL
n7_tower_hackett_v_dlg,global_hackett,BIOA_MPTOWR_050TRANS
promar_landing_c_dlg,radio_joker,BIOA_PROMAR_050SHUTTLE
n7_noveria_hackett_v_dlg,global_hackett,BIOA_SPNOV_000LEVELTRANS
n7_reactor_hackett_d_dlg,global_hackett,BIOA_SPRCTR_000LEVELTRANS
cat002_bridge_crossing_b_dlg,no_owner,BIOD_CAT002_200BRIDGE
