folder,series,game,from,to,frequency
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,-,44043
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,male,16267
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,male,-,17997
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,playerChoice,4904
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,playerChoice,male,2972
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,female,11055
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,female,-,12049
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,male,playerChoice,2583
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,playerChoice,-,5246
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,female,playerChoice,1470
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,playerChoice,female,1816
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,playerChoice,neutral,228
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,neutral,-,167
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,neutral,95
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,-,genderless,5
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,genderless,-,4
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,genderless,playerChoice,1
../data/MassEffect/MassEffect3C/,Mass Effect,Mass Effect 3,neutral,playerChoice,6
