maleWords,femaleWords
21169,13277
21193,13141
21463,13247
20839,13773
22008,14401
22263,13144
21442,13128
21823,13980
21500,13345
20795,13446
22949,13398
22583,13830
22416,13772
21862,13056
21855,13989
21212,13287
20994,13141
20263,13404
20255,14107
20537,13659
21725,13005
21534,13967
21503,12502
21737,13877
22060,13714
20724,13677
20782,13177
21048,12411
21385,13587
21231,13744
21003,13849
21612,13357
22394,13297
20935,12847
22570,13180
21658,13647
21532,12869
20443,12973
20623,13560
21410,13528
21577,13320
22729,12871
21929,12665
21898,13608
21641,13774
22032,12725
21530,13025
20869,13141
20549,13991
20659,13970
21878,14920
21856,12668
22301,13426
22278,13320
20756,13152
22225,12934
21024,13084
22185,13598
20847,13176
21978,13423
21304,14127
21123,13029
21316,14175
21360,13837
21348,12961
20652,14253
21304,13824
21928,13778
20871,13747
21830,13007
21659,13140
22349,13256
20901,13705
20805,14278
20658,13631
20697,13667
22249,13793
21945,13322
21725,13297
21881,13705
22074,13682
21663,12869
21574,13893
21592,13746
20891,13618
21137,13628
21669,14315
21830,12961
22037,13565
21336,13334
22046,13974
21613,13698
21959,13650
21146,13532
21838,13829
20579,13177
20760,13370
21372,13217
21669,14084
21313,13139
