Baku,"Here's the plan! Tantalus, the infamous band of daring thieves (that's us) is headin' to the Kingdom of Alexandria... Our mission - to kidnap the heir to the throne, Princess Garnet!",(that's us),
Pointy-Hat Boy,(The Pointy-hat boy leaves.),(The Pointy-hat boy leaves.),(The Pointy-hat boy leaves.)
King Leo,Furthermore! (P-Princess Garnet!?),(P-Princess Garnet!?),
Zidane,(Guys! Just improvise!),(Guys! Just improvise!),
Zidane,(Marcus is Cornelia's lover!),(Marcus is Cornelia's lover!),
Zidane,"(Yeah, you're doing great!)","(Yeah, you're doing great!)",
Garnet,"(Ahaha. I have studied drama, you know.)","(Ahaha. I have studied drama, you know.)",
Brahne,"Oh, my! This year's show is splendid! Waaaaaaa! Why did she have to die!? Why!? (Now, where could Garnet be?) Boo-hoo- hoooo!!!","(Now, where could Garnet be?)",
Zidane,Yeah! What's there to think about!? She's cute... and she's in trouble. That's all that matters. (The Blank scene that takes place afterwards starts immediately with this option.),(The Blank scene that takes place afterwards starts immediately with this option.),(The Blank scene that takes place afterwards starts immediately with this option.)
Baku,I ain't holdin' back. (The fight starts.),(The fight starts.),(The fight starts.)
Blank,(What did he mean by that?),(What did he mean by that?),
Part-time Worker Mary,(She shows her wares.),(She shows her wares.),(She shows her wares.)
Zidane,Dagger... (What's she looking at?),(What's she looking at?),
Zidane,I'm gonna look for Vivi and Steiner. (Said if you haven't talked to Vivi yet.),(Said if you haven't talked to Vivi yet.),(Said if you haven't talked to Vivi yet.)
Zidane,(Zidane and Dagger go down.),(Zidane and Dagger go down.),(Zidane and Dagger go down.)
Zidane,"(Hatch is closed, unentered.)","(Hatch is closed, unentered.)","(Hatch is closed, unentered.)"
Zidane,(Shhh!),(Shhh!),
Zidane,(Vivi!),(Vivi!),
Garnet,(Zidane! Wait!),(Zidane! Wait!),
Zidane,(Geez! Hey!),(Geez! Hey!),
Garnet,(Scumbag?),(Scumbag?),
Zidane,! (Someone's coming!) Vivi! Dagger!,(Someone's coming!),
Zidane,"Okay. Let's head back to the village. Vivi, you'll be safe with me. (They head back to the village, etc.)","(They head back to the village, etc.)","(They head back to the village, etc.)"
Dagger,Let me see. (She looks.),(She looks.),
Zidane,"Oh! (How about this? If you win, I'll fix you up for a date with Dagger.)","(How about this? If you win, I'll fix you up for a date with Dagger.)",
Zidane,(SHHH! Keep it down!),(SHHH! Keep it down!),
Minister Artania,"(Sire, you must not let him see you like this!)","(Sire, you must not let him see you like this!)",
Regent Cid,(Take a good look at him. An injury has blinded him.) Continue.,(Take a good look at him. An injury has blinded him.),
Steiner,"(Once we cross this gate, we are in Alexandrian territory!)","(Once we cross this gate, we are in Alexandrian territory!)",
Steiner,"(Blast, I must do something!)","(Blast, I must do something!)",
