maleWords,femaleWords
2804,729
2761,509
2881,610
2981,464
2340,728
2686,572
2172,631
3030,648
2479,525
2753,594
2939,582
2335,656
2529,643
2121,602
3130,569
2603,602
2449,514
2212,575
2503,500
3055,604
2526,534
2643,674
2546,582
2310,768
2641,534
2913,498
2743,595
2298,539
2843,699
2213,564
2520,689
2716,542
2193,525
2552,576
2477,445
2228,601
3038,643
2668,565
2771,566
3395,714
2879,765
2413,660
3033,681
2873,608
2581,519
2753,604
2633,564
2637,479
2433,491
2096,618
3010,523
2196,568
2316,661
2652,557
2482,549
2814,626
3168,641
2863,695
2554,506
2953,677
2775,611
2977,736
2475,595
2779,596
2870,638
2378,705
2297,678
2683,534
2401,567
2366,625
2810,501
3374,651
2278,630
2956,569
2399,639
2752,689
2913,606
2892,613
2383,708
2741,722
2507,730
3039,588
2402,515
2411,753
2353,629
2637,599
2174,575
2329,652
2537,609
2750,700
2252,621
2859,572
2488,629
2887,507
2139,750
2426,519
2956,607
2641,543
3233,528
2765,490
