group,feature,count,total
female,Please,763,135573
female,Please_start,1320,135573
female,HASHEDGE,31160,135573
female,Indirect_(btw),77,135573
female,Hedges,11636,135573
female,Factuality,4182,135573
female,Deference,1751,135573
female,Gratitude,3218,135573
female,Apologizing,2157,135573
female,1st_person_pl.,30883,135573
female,1st_person,44732,135573
female,1st_person_start,42191,135573
female,2nd_person,61570,135573
female,2nd_person_start,14054,135573
female,Indirect_(greeting),1707,135573
female,Direct_question,10733,135573
female,Direct_start,13949,135573
female,HASPOSITIVE,77780,135573
female,HASNEGATIVE,61993,135573
female,SUBJUNCTIVE,600,135573
female,INDICATIVE,720,135573

male,Please,1042,242809
male,Please_start,1738,242809
male,HASHEDGE,52489,242809
male,Indirect_(btw),150,242809
male,Hedges,18263,242809
male,Factuality,6461,242809
male,Deference,3492,242809
male,Gratitude,4487,242809
male,Apologizing,3077,242809
male,1st_person_pl.,59572,242809
male,1st_person,78761,242809
male,1st_person_start,67291,242809
male,2nd_person,113053,242809
male,2nd_person_start,27488,242809
male,Indirect_(greeting),3773,242809
male,Direct_question,20667,242809
male,Direct_start,25928,242809
male,HASPOSITIVE,142014,242809
male,HASNEGATIVE,116566,242809
male,SUBJUNCTIVE,1009,242809
male,INDICATIVE,1202,242809
