maleWords,femaleWords
3351,1918
2700,1034
3424,1599
3011,1049
2873,1713
2718,1566
2578,1713
2664,1657
2932,1387
2644,1899
2708,1505
2741,1740
2601,1708
2990,1284
3070,1816
3329,1574
2592,1544
3549,1708
3167,1470
3310,1428
3230,1855
3440,1899
2573,1693
3327,1794
2961,1316
3135,1527
3866,1753
2851,1507
3146,1498
2846,1677
2652,1496
2445,1471
3250,1791
3069,1970
2221,1498
2934,1268
2840,1394
2666,1386
2823,1744
2555,1662
2702,1519
3728,1769
2714,1562
2778,1556
2771,1548
3066,1548
2707,1577
2696,1209
3422,1498
3055,1575
2880,1526
3460,1333
2979,1513
2973,1339
2865,1540
2937,1576
2698,1597
2785,1459
2970,1563
3052,1326
3220,1529
3274,1595
2651,1336
1988,1285
3069,1658
2895,1578
2929,1583
3026,1326
2664,1722
3006,1614
2580,1464
2819,1234
2617,1492
2944,1621
3223,1662
2792,1508
3028,1782
2876,1403
2952,1334
2914,1930
3291,1537
3009,1586
2195,1352
2449,1443
3334,1941
2733,1562
3091,1650
3231,1900
3585,1832
2577,1458
2883,1846
3134,1533
2486,1631
2725,1750
2250,1433
3057,1242
2705,1519
2672,1652
2720,1504
2727,2053
