maleWords,femaleWords
1452,880
1304,608
1075,1012
1261,922
1421,695
1353,704
1420,880
1392,799
1202,906
1462,885
1211,799
1632,764
1175,502
1417,775
1247,1052
1283,783
1041,960
1585,845
1135,852
1337,1113
1513,861
1324,1056
1042,530
1136,606
1353,1149
1496,878
1197,1000
1182,835
1312,759
1193,580
1491,967
1325,959
1360,837
1239,835
1485,677
1303,713
1168,738
1370,680
1274,776
1606,698
1282,923
1348,790
1210,686
1454,1047
1360,888
1228,887
1339,782
1488,811
1337,1113
1150,1054
1261,616
1295,871
1507,1009
1175,931
1435,809
989,1142
1275,852
1132,764
1121,811
1265,967
1174,795
1392,864
1206,719
1206,965
1216,599
1188,943
1549,942
1053,635
1383,765
1466,922
1580,879
1418,1010
1187,816
1184,1126
942,828
1322,811
1075,930
1217,835
1452,887
1473,860
1324,819
1310,870
1260,738
1450,1057
1361,816
1366,941
1078,1149
1298,837
1321,852
1260,940
1403,740
1285,871
1600,780
1486,634
1635,677
1317,1073
1030,775
1262,1012
1307,767
1241,684
