maleWords,femaleWords
46910,24952
47311,25596
48298,24615
47964,24629
48030,25423
48554,24469
46804,24632
47496,25381
47717,24596
46305,24329
46667,25114
46817,24987
47366,24492
47786,25146
47534,25035
46981,24650
46872,24756
47050,24499
46368,25113
48544,24264
47491,24909
48054,24717
47428,24484
47030,25022
47959,24598
47625,24942
46735,25217
47056,25438
47967,24629
47420,24392
47671,25051
47545,24196
46044,24474
47075,25118
47371,25223
47981,24483
46371,25001
47244,24669
46598,25357
47374,25075
47004,25065
46582,25008
47467,25236
47267,24928
47424,24196
47422,24810
47481,25059
47140,24552
47264,24669
48368,25007
46857,25136
48295,24173
46921,24975
47897,25377
47265,24582
47386,25048
47248,24714
48592,25243
47394,25281
48098,24902
46882,24842
48125,24906
47847,24810
47673,24560
46730,25006
46497,24749
47020,24153
47484,24416
47304,24753
47569,24906
47252,25438
47296,24889
46973,24847
46867,25074
48134,24796
47604,24869
47187,24722
47231,24524
47050,25159
47296,25266
47195,23946
46980,24936
46100,24496
47094,25138
46953,24889
47394,24556
47242,25069
47296,24536
47779,25495
47184,24594
47283,25010
46863,24873
47781,24666
46824,24184
47981,24617
47134,25162
47452,25371
48566,24631
47384,24772
48013,24695
