"PC" :4639,
"CHOICE" :2865,
"Eno Hlaalu" :179,
"Aryon (Morrowind)" :136,
"Crassius Curio" :125,
"Eydis Fire-Eye" :119,
"Nibani Maesa" :116,
"Caius Cosades (Morrowind)" :107,
"Edwinna Elbert" :93,
"Darius (Morrowind)" :89,
"Gentleman Jim Stacey (Morrowind)" :85,
"Athyn Sarethi" :85,
"Nileno Dorvayn" :82,
"Baladas Demnevanni (Character)" :80,
"Lalatia Varian" :69,
"Sul-Matuul" :66,
"Neminda" :64,
"Ajira" :64,
"Savile Imayn" :63,
"Duke Vedam Dren (Morrowind)" :62,
"Vivec (Morrowind)" :59,
"Divayth Fyr (Morrowind)" :59,
"Edryno Arethi" :57,
"Dagoth Ur (Character)" :57,
"Sugar-Lips Habasi" :56,
"Sinnammu Mirpal" :55,
"Skink-in-Tree's-Shade" :52,
"Kaye" :50,
"Garothmuk gro-Muzgub" :50,
"Aengoth the Jeweler" :50,
"Ranis Athrys" :48,
"Odral Helvi" :48,
"Iulus Truptor" :47,
"Faral Retheran" :46,
"Tholer Saryoni" :45,
"Han-Ammu" :45,
"Theldyn Virith" :44,
"Llunela Hleran" :44,
"Lloros Sarano" :44,
"Dondos Driler" :43,
"Synnolian Tunifus" :42,
"Big Helende" :42,
"Tuls Valen" :41,
"Manirai" :41,
"Uvoo Llaren" :38,
"Therana (Morrowind)" :38,
"Radd Hard-Heart" :38,
"Galsa Gindu" :38,
"Mistress Dratha (Morrowind)" :37,
"Kaushad" :35,
"Fast Eddie" :35,
"Trebonius Artorius" :34,
"Sharn gra-Muzgob" :34,
"Gilvas Barelo" :34,
"Endryn Llethan" :34,
"Dram Bero" :34,
"Hasphat Antabolis" :33,
"Frald the White" :33,
"Garisa Llethri" :32,
"Huleeya" :31,
"Hassour Zainsubani" :31,
"Ilmeni Dren" :30,
"Canctunian Ponius" :28,
"Mehra Milo" :27,
"Galos Mathendis" :27,
"Cunius Pelelius" :27,
"Tharer Rotheloth" :26,
"Larrius Varro" :26,
"Addhiranirr" :26,
"Varvur Sarethi" :25,
"Raven Omayn" :25,
"Imsin the Dreamer" :25,
"Gadayn Andarys" :25,
"Felisa Ulessen" :25,
"Varus Vantinius" :23,
"Neloth (Morrowind)" :23,
"Salyn Sarethi" :22,
"Orvas Dren" :22,
"Hlaren Ramoran" :22,
"Angoril" :22,
"Sonummu Zabamat" :21,
"Sellus Gravius" :21,
"Nevena Ules" :21,
"Dreamer" :21,
"Din" :21,
"Ra'Gruzgob" :20,
"Peakstar" :20,
"Mallam Ryon" :20,
"Falura Llervu" :20,
"Ethasi Rilvayn" :20,
"Arara Uvulas" :20,
"Teris Raledran" :19,
"Urshamusa Rapli" :18,
"Paur Maston" :18,
"Bolvyn Venim (Morrowind)" :18,
"Yngling Half-Troll" :17,
"Yagrum Bagarn (Morrowind)" :17,
"Widow Vabdas" :17,
"Eleedal-Lei" :17,
"Drulene Falen" :17,
"Baren Alen" :16,
"Tuveso Beleth" :15,
"M'aiq the Liar (Morrowind)" :15,
"Athanden Girith" :15,
"Assaba-Bentus" :15,
"Hlireni Indavel" :14,
"Hides-His-Foot" :14,
"Drinar Varyon" :14,
"Botrir" :14,
"Velanda Omani" :13,
"Taros Dral" :13,
"Sadal Doren" :13,
"Hlormar Wine-Sot" :13,
"Garyn Girith" :13,
"Elam Andas" :13,
"Danso Indules" :13,
"Anes Hlaren" :13,
"Turedus Talanian" :12,
"Saprius Entius" :12,
"Manat Shimmabadas" :12,
"Hannat Zainsubani (Character)" :12,
"Frelene Acques" :12,
"Delyna Mandas" :12,
"Bolrin" :12,
