maleWords,femaleWords
908,172
1010,270
970,272
875,176
887,278
933,239
893,291
803,261
848,275
836,219
842,244
735,207
856,191
805,216
871,171
866,263
890,266
817,194
830,169
763,167
736,226
939,233
878,315
897,235
979,268
876,204
804,165
898,343
862,254
897,224
769,258
852,232
889,164
802,205
790,243
763,232
912,237
879,264
899,181
785,191
871,293
745,190
877,217
749,203
814,199
802,212
775,307
825,284
862,301
888,246
1078,213
891,193
730,229
663,174
883,167
892,201
821,227
828,225
803,201
789,295
783,258
825,253
869,233
830,214
863,255
790,189
903,214
793,252
907,288
812,178
859,310
850,357
866,123
929,276
838,216
879,258
926,232
891,181
994,287
884,259
833,337
875,227
820,193
861,330
973,369
753,226
817,203
795,194
801,163
875,193
803,278
1049,226
832,186
764,175
764,235
966,237
907,302
873,171
801,222
760,249
