folder,series,game,from,to,frequency
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,-,-,833
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,-,male,1669
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,male,-,1690
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,male,male,1427
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,male,neutral,30
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,neutral,male,31
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,-,female,290
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,female,male,416
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,male,female,425
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,female,-,290
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,-,neutral,35
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,neutral,-,39
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,neutral,female,8
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,female,neutral,14
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,-,genderless,36
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,genderless,male,55
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,male,genderless,54
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,genderless,-,39
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,genderless,genderless,12
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,neutral,neutral,8
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,female,female,56
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,female,genderless,5
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,neutral,genderless,2
../data/FinalFantasy/FFIX/,Final Fantasy,Final Fantasy IX,genderless,female,3
