maleWords,femaleWords
15154,5786
18150,5704
14681,4648
17183,5430
16429,4806
15979,4370
15076,4913
14431,5749
14919,5817
15057,5830
16180,5811
17000,6003
16022,6087
14781,6246
16445,5200
14687,6185
15288,6036
15127,5788
15642,4996
16142,5332
15614,5468
15429,5652
16125,5976
16145,5726
15535,5365
15110,4970
16539,6444
16481,6510
14810,5104
16731,5736
15622,5370
16699,4451
15518,5589
15724,5109
16234,4961
16149,5688
15455,5495
14894,5625
14932,5736
15426,5195
14734,5199
14023,5398
13942,5522
16598,5871
14625,5383
16378,5878
15762,5284
17642,5838
16193,5281
15790,4505
16644,5885
16428,5308
17020,5399
16357,5332
15315,6448
14600,5162
14832,4320
15606,5498
16485,6274
16263,6501
15234,5775
16904,5245
16421,6626
15309,6000
14426,6425
15608,6218
15443,6238
16679,5806
15541,6062
16301,4260
16573,5940
17650,6262
16665,5442
15810,5066
15456,5181
16089,5512
15650,4934
15181,5399
16207,5208
15698,5393
16846,5144
15444,5770
16810,6207
17366,5742
16445,5500
15258,5099
14600,5430
15865,6239
17171,5448
14107,5701
15102,5676
15716,5824
15190,4590
15777,5097
16818,6452
17461,5461
16546,6186
16323,4934
14552,5151
15774,5355
