maleWords,femaleWords
6580,2054
6607,2272
6480,2112
6656,2036
6933,2154
6600,1944
7203,1793
6944,1773
6693,2201
6724,2160
7524,2100
7365,2187
7234,1918
7535,2112
6736,2376
6896,2239
6828,2031
6633,2212
7510,2118
7392,1805
7232,2233
6722,2194
6583,2325
7318,2152
7169,2414
7307,2193
7036,2255
6321,2278
7508,2142
7700,2080
5908,2282
7015,2187
6860,1778
7055,2065
7275,2523
7165,2022
7520,1838
6722,1787
7685,2499
6312,2147
6889,1974
6671,2292
6678,1929
7397,2320
7065,2166
7563,2354
7344,1733
6376,2008
6263,2128
6693,2036
6769,2209
6605,1634
6546,2194
6330,2410
6973,2001
7622,2225
7764,2263
7069,2457
6318,1904
6622,1825
6898,2266
6722,2515
6255,1807
6327,1899
6737,2264
6694,1657
6957,2440
6330,2304
6446,1822
7116,2021
6985,2174
7359,2163
6930,1819
6015,1891
6340,1784
6783,2447
6502,1849
6890,1926
6768,2357
6356,2146
7603,2225
7329,1998
6178,1965
6899,2153
6951,2498
6858,2217
7099,1865
7293,2088
7271,2051
6978,1943
7111,2131
6642,1955
6826,2175
7447,2262
7142,2106
6728,2344
5838,1866
7244,2047
6524,2109
6767,2049
