folder,series,game,from,to,frequency
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,-,432
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,male,2246
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,-,2478
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,female,1150
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,female,male,1199
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,male,2666
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,female,-,1090
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,female,987
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,neutral,108
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,neutral,-,110
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,neutral,male,56
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,neutral,69
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,female,female,225
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,system,2
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,system,male,1
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,system,-,2
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,neutral,female,21
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,female,neutral,9
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,neutral,neutral,25
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,ambiguous,1
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,ambiguous,male,3
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,female,ambiguous,2
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,male,ambiguous,6
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,ambiguous,-,1
../data/FinalFantasy/FFVII/,Final Fantasy,Final Fantasy VII,-,system,1
