maleWords,femaleWords
14483,3520
14925,4505
15589,3975
17263,3853
15997,3812
15919,4274
15309,4012
15603,3602
14762,3781
15167,3843
16521,3648
15288,4025
16123,3014
15753,4490
15225,3815
16657,4041
16098,3753
15380,3652
16433,3926
16609,4554
14955,3490
16447,4407
15981,3747
15435,3954
15292,3400
17708,2927
16381,4505
16193,4350
15409,4007
15442,3939
17843,3939
16930,3761
16237,3798
14977,3718
16304,3371
15855,3839
15864,3901
14220,3774
14624,3662
14339,3517
15238,3855
15051,3757
15327,4314
16208,3125
14452,4592
13915,3204
15559,4166
15396,3632
13381,3186
15597,4368
15711,4094
17338,4258
15741,4028
15834,3434
16123,4086
16341,4091
16826,4611
15752,3658
15717,3386
14417,3348
16466,3326
14933,4086
14832,4765
16738,3711
15274,3574
14635,3749
15114,3330
14727,3738
15515,3456
16032,3730
15143,3837
16130,3654
16894,3284
15792,3451
16789,3730
15546,3582
15606,4185
15809,3921
15257,3526
14660,3709
15287,4006
14675,3477
14926,3219
16034,4209
15916,3616
16545,3825
15197,2871
14937,3632
15704,3868
14784,3624
15593,4216
14746,3526
16325,3331
16771,3920
15516,4030
15034,3924
14333,3470
16615,4349
14654,3821
15498,3994
