maleWords,femaleWords
10140,7068
10242,6708
9624,7223
9678,7100
10001,6780
10201,6897
9530,6968
10174,6561
10469,7030
10077,7313
9777,7302
9652,7218
9592,6391
9306,6815
9755,6595
10425,6684
9236,6902
10969,7502
10431,6742
9802,7190
8941,7378
9686,7375
9360,6577
9762,6642
9804,7791
9690,6771
9679,7052
10003,6913
10117,6741
10711,7033
9118,6494
9725,7280
9884,7566
9808,7035
10051,6910
9979,7459
9526,7404
10030,7157
9892,7264
10341,7868
9855,7175
9510,6819
9622,7481
9617,7256
10323,7145
9893,6237
9902,6841
10165,6949
9872,7136
9988,6768
10470,6807
10212,7166
10082,6897
10910,7255
9086,6735
9165,7180
9791,6866
9673,6871
10091,6912
9958,7172
10195,6529
10029,6530
10213,6904
9421,6389
9513,6806
8989,6853
9703,7382
9724,6343
9888,7187
9960,6903
9562,7517
9543,6754
9970,6548
9673,7264
9310,6679
9201,6289
9565,6961
10274,7212
9597,7570
10172,6544
10840,7500
10070,7667
10483,6926
10341,7693
9899,6980
10093,7487
10182,7898
10041,7173
10631,7564
9503,6820
9359,7221
10014,7217
10764,6613
9983,6668
9968,6587
9314,6816
10305,6831
10492,6965
10289,6707
9608,6749
