Mission,Character,AutoGender,ShepardGender,Paragon,Renegade,Text
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,20,,Spacer/War Hero 20 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,15,,Colonist/War Hero 15 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,10,,Earthborn/War Hero 10 Paragon
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,15,5,"Spacer/Sole Survivor 15 Paragon, 5 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,10,10,"Colonist/Sole Survivor 10 Paragon, 10 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,5,15,"Earthborn/Sole Survivor 5 Paragon, 15 Renegade"
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,10,Spacer/Ruthless 10 Renegade
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,15,Colonist/Ruthless 15 Renegade
Background and Psych Profile,"Starting Paragon and Renegade Points
",,,,20,Earthborn/Ruthless 20 Renegade
Prologue: Find the Beacon,"Joker and Kaidan
",Joker::male; Kaidan::male,,2,,"2 Paragon for saying ""I agree."""
Prologue: Find the Beacon,"Joker and Kaidan
",Joker::male; Kaidan::male,,,2,"2 Renegade for saying ""Cut the chatter!"""
Prologue: Find the Beacon,"Richard L. Jenkins and Doctor Chakwas
",Richard L. Jenkins::male; Doctor Chakwas::female,,2,,"2 Paragon for saying ""Relax, Jenkins."""
Prologue: Find the Beacon,"Richard L. Jenkins and Doctor Chakwas
",Richard L. Jenkins::male; Doctor Chakwas::female,,,2,"2 Renegade for saying ""Part of the job, Doc."""
Prologue: Find the Beacon,"First Contact
",,,2,,"2 Paragon for saying ""He deserves a burial."""
Prologue: Find the Beacon,"First Contact
",,,,2,"2 Renegade for saying ""Forget about him."""
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,2,,"2 Paragon for saying ""Are you okay?""
plus (be sure to ask Ashley what happened to her squad to get these options)"
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,2,,"2 Paragon for saying ""Don't blame yourself."""
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,,2,"2 Renegade for saying ""You abandoned them.""
plus"
Prologue: Find the Beacon,"Ashley Williams
",Ashley Williams::female,,,2,"2 Renegade for saying ""Fine, come with us."" (Must first say ""Stay here."")"
Prologue: Find the Beacon,"Manuel and Dr. Warren
",Manuel::male; Dr. Warren::female,,2,,"2 Paragon for saying ""You're safe.""
plus"
Prologue: Find the Beacon,"Manuel and Dr. Warren
",Manuel::male; Dr. Warren::female,,,9,9 Renegade for shutting up Manuel
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,2,,"2 Paragon for saying ""It's safe.""
plus"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,,2,"2 Renegade for Intimidating ""You're holding out on me."" need 1 Intimidate
plus"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,2,,"2 Paragon for Charming ""He may know something."" need 2 Charm"
Prologue: Find the Beacon,"Cole and his fellow colonists
",Cole::male,,,2,"2 Renegade for Intimidating ""Is he worth dying for?"" need 2 Intimidate"
Prologue: Find the Beacon,"The Smuggler
",,,2,,"2 Paragon for saying ""Let it go, Williams."" (Must have gotten Powell's name from the Farmers)
plus"
Prologue: Find the Beacon,"The Smuggler
",,,,2,"2 Renegade for Intimidating ""You're lying!"" need 3 Intimidate"
Prologue: Find the Beacon,"Kaidan back on the SSV Normandy (if Shepard is female)
",SSV Normandy::,,2,,"2 Paragon for saying ""You helped."""
Prologue: Find the Beacon,"Kaidan back on the SSV Normandy (if Shepard is female)
",SSV Normandy::,,,2,"2 Renegade for saying ""The mission failed."""
Prologue: Find the Beacon,"Ashley back on the Normandy
",,,2,,"2 Paragon for saying ""You helped."""
Prologue: Find the Beacon,"Ashley back on the Normandy
",,,,2,"2 Renegade for saying ""The mission failed."""
Citadel: Expose Saren,"Arrival at the Citadel
",Citadel::,,,2,"2 Renegade for saying ""They're blind."""
