.folder,.series,.game,.group,.charName,.totalWords,who,what,why,where,when,how
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Abassel Asserbassalit,44,0,1,0,0,1,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Addhiranirr,1235,11,6,1,3,0,5
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Addut-Lamanu,68,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Aengoth the Jeweler,992,3,11,0,1,1,2
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Ahaz,101,1,1,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Ahdni,49,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Ajira,1318,1,4,1,2,4,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Alarvyne Indalas,292,0,0,0,2,3,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Albecius Colollius,306,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Alfe Fyr (Morrowind),78,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Alvela Saram,133,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Alven Salas,80,0,0,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Alvis Teri,70,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Ama Nin,498,0,0,0,1,1,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Andil,55,0,0,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Ane Teria,183,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Anes Hlaren,189,0,1,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Angoril,1314,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Anhaedra (Morrowind),62,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Arara Uvulas,342,0,4,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Arethan Mandas,271,1,1,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Arielle Phiencel,159,0,1,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Arius Rulician,62,2,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Arrille,346,1,0,0,0,1,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Artisa Arelas,167,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Aryni Orethi,48,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Aryon (Morrowind),2966,9,19,2,0,1,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Ashibaal,160,0,0,3,0,2,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Ashu-Ahhe,67,1,2,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Assaba-Bentus,247,2,2,0,0,0,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Assantus Hansar,72,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Athanden Girith,458,2,2,0,0,1,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Athyn Sarethi,2437,5,14,1,0,7,2
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Audenian Valius,204,0,0,0,0,2,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Aurane Frernis,97,1,1,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Bacola Closcius,319,0,1,0,2,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Baladas Demnevanni (Character),1805,0,5,7,4,2,4
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Balur Salvu,163,0,1,1,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Banor Seran,100,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Baren Alen,251,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Bashuk gra-Bat,91,0,0,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Beden Giladren,92,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Benunius Agrudilius,174,0,2,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Berel Sala,77,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Berwen,229,0,0,0,0,0,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Bethes Sarothril,184,1,2,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Beyte Fyr (Morrowind),192,3,0,0,0,0,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Big Head (Morrowind),87,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Big Helende,913,0,7,0,0,4,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Birer Indaram,29,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Bivale Teneran,76,0,1,1,0,0,1
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Blatta Hateria,90,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Bolrin,408,1,2,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Bolvyn Venim (Morrowind),423,0,0,2,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Botrir,414,0,1,0,0,1,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Brallion,178,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Braynas Hlervu,99,0,2,0,1,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Brerama Selas,23,0,1,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Bugdul gro-Kharbush,45,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,female,Bulfim gra-Shugarz,147,0,0,2,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Buoyant Armiger (Morrowind),182,0,0,0,0,0,0
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Caius Cosades (Morrowind),5079,8,15,4,6,10,9
../data/ElderScrolls/Morrowind/,The Elder Scrolls,The Elder Scrolls III: Morrowind,male,Canctunian Ponius,597,0,1,0,1,0,0
