"STATUS" :3972,
"Alphinaud" :2526,
"CHOICE" :2248,
"ACTION" :2110,
"Alisaie" :1249,
"LOCATION" :1177,
"Y'shtola" :977,
"SYSTEM" :956,
"Thancred" :893,
"Lyse" :740,
"Urianger" :612,
"G'raha Tia" :552,
"The Adventurer" :536,
"Ryne" :461,
"Tataru" :411,
"Estinien" :315,
"Yugiri" :308,
"Hien" :266,
"Raubahn" :261,
"Aymeric" :260,
"Minfilia Warde" :243,
"Cid" :210,
"Krile" :190,
"Lucia" :181,
"Chai-Nuzz" :181,
"Gosetsu" :167,
"Ysayle" :129,
"Papalymo" :125,
"Pipin" :120,
"Beq Lugg" :112,
"Lyna" :111,
"Almet" :110,
"Emmanellain" :110,
"Kan-E-Senna" :109,
"Elidibus" :106,
"Arenvald" :105,
"Haurchefant" :103,
"Dulia-Chai" :103,
"M'naago" :101,
"Runar" :97,
"Emet-Selch" :96,
"Cirina" :95,
"Artoirel" :88,
"Merlwyb" :87,
"Ardbert" :80,
"Ran'jit" :79,
"Count Edmont de Fortemps" :75,
"Jeryk" :74,
"Ilberd" :73,
"Wedge" :73,
"Honoroit" :72,
"Kai-Shirr" :70,
"Hilda" :69,
"Conrad" :68,
"Meffrid" :67,
"Hancock" :65,
"Nanamo Ul Namo" :64,
"Thaffe" :62,
"Magnus" :58,
"Uimet" :57,
"Moren" :56,
"Cymet" :56,
"Zenos Galvus" :56,
"Soroban" :55,
"Hoary Boulder" :54,
"Matoya" :53,
"Hraesvelgr" :49,
"Vidofnir" :48,
"Biggs" :48,
"Riol" :46,
"Momodi" :45,
"Tansui" :45,
"Wiscar" :45,
"Storm Officer (MSQ)" :43,
"Manager of Suites" :42,
"Korutt" :40,
"Baderon" :39,
"Alianne" :39,
"Gaius" :38,
"Wrenden" :37,
"Yozan" :36,
"Kuplo Kopp" :36,
"Coultenet" :36,
"Tristol" :36,
"Seto" :35,
"Mother Miounne" :34,
"Ga Bu" :34,
"Rasho" :34,
"Tista-Bie" :33,
"Slafborn" :32,
"Sul Uin" :32,
"Redwald" :31,
"Drillemont" :31,
"Theyler" :31,
"Papashan" :31,
"Isse" :30,
"Marn Ose" :30,
"Tesleen" :30,
"Maxima" :30,
"Silent Conjurer" :29,
"Tolshs Aath" :29,
"Xamott" :29,
"Chessamile" :28,
"Wyd Aenc" :28,
"F'lhaminn" :27,
"Archbishop Thordan VII" :27,
"Fufulupa" :27,
"Szem Djenmai" :26,
"Magnai" :25,
"Serpent Officer (Ala Ghiri)" :25,
"Bartholomew" :25,
"Zanthael" :25,
"Cassard" :25,
"Resistance Fighter (Eorzean Alliance Headquarters)" :24,
"Riqi-Tio" :24,
"Glynard" :24,
"Nero" :24,
"Feo Ul" :24,
"Sadu" :24,
"Guthjon" :24,
"Stark Woad" :23,
"Moghan" :23,
"Komuxio" :23,
"Midgardsormr" :22,
"Shamani Lohmani" :22,
"Nidhogg" :22,
"Buscarron" :22,
"Imperial Decurion" :22,
"Wheiskaet" :22,
"Asahi" :22,
"Kienkan Guardsman" :22,
"Hozan" :21,
"Dorbei" :21,
"Masked Mage" :21,
"Staelwyrn" :21,
"Bragi" :21,
"V'mah Tia" :21,
"Temulun" :21,
"House Fortemps Manservant" :21,
"Hakuro" :21,
"Eirwel" :20,
"Eynzahr Slafyrsyn" :20,
"Katliss" :20,
"Baatu" :20,
"Gundobald" :20,
"Lahabrea" :20,
"Rhon Ron" :20,
"Unsettled Scholar" :19,
"Gyodo" :19,
"Guidance Node" :19,
"Lonu Vanu" :19,
"Yuyuhase" :19,
"Vorsaile Heuloix" :19,
"Brayflox Alltalks" :19,
"Handeloup" :19,
"Wyd Lad" :19,
"J'moldva" :19,
"Halric" :19,
"Carvallain" :18,
"Arkil" :18,
"Koharu" :18,
"Azami" :18,
"Lionnellais" :18,
"Ephemie" :18,
"Laniaitte" :18,
"Ceana" :18,
"House Fortemps Knight" :18,
"Gibrillont" :18,
"Ys Gyuf" :17,
"Raganfrid" :17,
"Spirited Stonecutter" :17,
"Highborn Merchant" :17,
"Lowborn Youth" :17,
"East Aldenard Trading Company Aide" :17,
"Wilred" :17,
"Ys Iala" :17,
"Huaca" :17,
"House Fortemps Steward" :17,
"Moglin" :16,
"Ravana" :16,
"Trachtoum" :16,
"Eline Roaille" :16,
"Tsuranuki" :16,
"Diligent Mol Warrior" :16,
"Edelstein" :16,
"Oul Sigun" :16,
"Imperial Centurion" :16,
"Owyne" :16,
"Paushs Ooan" :15,
"Archive Node" :15,
"Lewin" :15,
"Sevrin" :15,
"Fordola" :15,
"Imperial Soldier" :15,
"Portelaine" :15,
"Ardent Attendant" :15,
"Moenbryda" :15,
"Slowfix" :15,
"Free Citizen" :15,
"Weeping Warbler" :15,
"L'nophlo" :14,
"Irvithe" :14,
"U'odh Nunh" :14,
"Gods' Quiver Bow" :14,
"Ungust" :14,
"Skaenrael" :14,
"Zealous Mol Warrior" :14,
"Homei" :14,
"Glaumunt" :14,
"Vath Storyteller" :14,
"Cyella" :13,
"Sarisha" :13,
"Vajra" :13,
"Kraken's Arms Deckhand" :13,
"Serpent Officer (Castrum Abania)" :13,
"Restrainment Node" :13,
"Rothe" :13,
"Kaidate" :13,
"Haname" :13,
"Serpent Officer (Castrum Oriens)" :13,
"Laurentius" :13,
"Weary Mol Warrior" :13,
"Amiable Maiden" :13,
"Isembard" :13,
"Marques" :13,
"Storm Officer (The Waking Sands)" :13,
"Resistance Guard" :13,
"Midlander Engineer" :12,
"Grithil" :12,
"Crystarium Gatekeep" :12,
"Mutamix" :12,
"Marcechamp" :12,
"Leofric" :12,
"Galfrid" :12,
"Bloeidin" :12,
"Isildaure" :12,
"Gallant Guardsman" :12,
"Theva" :12,
"Zephirin" :12,
"Hythlodaeus" :12,
"Dewlala" :12,
"Higiri" :12,
"Blue Jongleur" :12,
"Watt" :12,
"Grenoldt" :11,
"Ele" :11,
"Manic Madame" :11,
"Fourchenault" :11,
"Serpent Lieutenant" :11,
"Suspicious Merchant" :11,
"Yotsuyu" :11,
"Luquelot" :11,
"Frixio" :11,
"Bunchin" :11,
"Mild-mannered Mol Warrior" :11,
"Daidukul" :11,
"Marcelain" :11,
"Temple Knight Guard" :11,
"Atharn" :11,
"Red Jongleur" :11,
"Regula van Hydrus" :11,
"Varis" :11,
"Thoarich" :11,
"Falkbryda" :10,
"Baldewyn" :10,
"Solemn Blessed" :10,
"Keitha" :10,
"Expedition Leader" :10,
"Udutai" :10,
"Tiamat" :10,
"Elyenora" :10,
"Sultansworn Elite" :10,
"Igeyorhm" :10,
"Eudestand" :10,
"Symme" :10,
"Clemence" :10,
"Aenor" :10,
"Ocher Boulder" :10,
"Kikyo" :10,
"Kasasagi" :10,
"Landenel" :10,
"Serpent Officer (The Waking Sands)" :10,
"Flame Officer (The Waking Sands)" :10,
"Sonu Vanu" :10,
"Confederate Skipper" :9,
"Arrivals Attendant (Gridania)" :9,
"Aideen" :9,
"Motojiro" :9,
"Mimidoa" :9,
"Raya-O-Senna" :9,
"Reyner" :9,
"Terrified Refugee" :9,
"Ihanashi" :9,
"Parsemontret" :9,
"The Griffin" :9,
"Industrious Pirate" :9,
"Bismarck" :9,
"Todden" :9,
"Pawnil" :9,
"Beggarly Fellow" :9,
"Liberation Front Infantry" :9,
"Lolorito" :9,
"Wystan" :8,
"Serpent Personnel Officer" :8,
"Storm Personnel Officer" :8,
"Flame Personnel Officer" :8,
"Medrod" :8,
"Contented Carer" :8,
"Willfort" :8,
"Playful Voice" :8,
"Marielle" :8,
"Zhun Zun" :8,
"Rammbroes" :8,
"Venat" :8,
"Drest" :8,
"Vonard" :8,
"Voyne" :8,
"Eybor" :8,
"Chaunollet" :8,
"Loanne" :8,
"Ourcen" :8,
"Lamberteint" :8,
"Flustered Woman" :8,
"Charibert" :8,
"Wounded Hunter" :8,
"Vauthry" :8,
"Julia quo Soranus" :7,
"Forlemort" :7,
"Watery Voice" :7,
"Draggle-tailed Refugee" :7,
"Robed Giant" :7,
"Storm Lieutenant" :7,
"Francel" :7,
"Glagg" :7,
"Swarthy Resistance Fighter" :7,
"Ivaurault" :7,
"Szel Guanleu" :7,
"Storm Private (Into the Heart of the Whorl)" :7,
"Sylvetrel de Dzemael" :7,
"Ihanami" :7,
"Davyd" :7,
"Wounded Storm Soldier" :7,
"Shiosai" :7,
"Rolfe Hawthorne" :7,
"Garibald" :7,
"Swift" :7,
"Yaelle" :7,
"Keeper of the Entwined Serpents" :7,
"Disconcerted Coachman" :7,
"Prunilla" :7,
"House Fortemps Guard" :7,
"Eulmoran Adjutant" :7,
"Godbert" :7,
"Griseldis" :7,
"Filthy Fellow" :7,
"Allied Communications Officer" :7,
"Secretariat Clerk" :7,
"Ahelissa" :7,
"Master of Shofuku Shichiten" :6,
"Narengawa" :6,
"Ucugen" :6,
"Ferry Skipper (Aleport Docks)" :6,
"Flustered Fisher" :6,
"Stupefied Senior" :6,
"Grey Fleet Miller" :6,
"Chigusa" :6,
"Stalwart Temple Knight" :6,
"Arrivals Attendant (Limsa Lominsa)" :6,
"Highlander Engineer" :6,
"Gogg Dwarf" :6,
"Wercrata" :6,
"Blessed Watchman" :6,
"Amphitheatre Heretic" :6,
"Aggressive Refugees" :6,
"Earnest House Fortemps Knight" :6,
"Hahasako" :6,
"Ananta Battlemaid" :6,
"Ursandel" :6,
"Teledji Adeledji" :6,
"Cotan" :6,
"Mogwin" :6,
"Yunagi" :6,
"Cocksure Mol Warrior" :6,
"Earnest Maid" :6,
"Dolorous Bear" :6,
"Haustefort" :6,
"Magitekarmor" :6,
"Sozai Rarzai" :6,
"Eyrimhus" :6,
"Seseroga" :6,
"Nenebaru" :6,
"Nicia" :6,
"Swozblaet" :6,
"Sundhimal" :6,
"Quentenain" :6,
"S'dhodjbi" :6,
"Eluned" :6,
"Bertliana" :6,
"Hedyn" :6,
"Flame Courier" :6,
"House Durendaire Knight" :6,
"Serpent Honor Guard" :6,
"Maelie" :6,
"Knolexia" :6,
"Jakys Ryder" :6,
"Temple Knight Squire" :6,
"Ersabel" :6,
"Flame Scout" :6,
"Hyuran Coachman" :5,
"Imperial Signifer" :5,
"Austere Adventurer" :5,
"Miraudont the Madder" :5,
"Inconspicuous Man" :5,
"Doman Watch" :5,
"Serpent Officer (Porta Praetoria)" :5,
"Arrivals Attendant (Ul'dah)" :5,
"Lue-Reeq" :5,
"Granson" :5,
"Cerigg" :5,
"Giott" :5,
"Astidien" :5,
"Kajika" :5,
"Steadfast Temple Knight" :5,
"Fyrilsmyd" :5,
"Warin" :5,
"Bujeg" :5,
"Round Sentry" :5,
"Dark Stranger" :5,
"Myrcant" :5,
"Roseline" :5,
"Talebot" :5,
"Hihibaru" :5,
"Aethelmaer" :5,
"Serpent Scout (Griffin, Griffin on the Wall)" :5,
"Drunken Stag" :5,
"Beves" :5,
"Thierremont" :5,
"Storm Private (Maelstrom)" :5,
"Apathetic Porter" :5,
"Edda" :5,
"Cenota" :5,
"Sark Malark" :5,
"High Adjudicator" :5,
"Angry Coeurl" :5,
"Accused Knight" :5,
"Wymond" :5,
"Yellowjacket (Roegadyn)" :5,
"Orella" :5,
"Reconnaissance Party Knight" :5,
"Bluomwyda" :5,
"Ishgardian Priest" :5,
"Thubyrgeim" :5,
"Byrglaent" :5,
