maleWords,femaleWords
47879,19663
47356,20160
48946,20401
48691,19813
48393,20755
49610,19942
47791,19841
49384,20212
48077,19911
49234,20840
48883,19438
48361,20042
48481,19502
49213,19718
48630,19767
48434,20045
48148,19817
49278,20390
47733,19774
48096,20526
48371,20513
48048,20184
47554,19765
48630,20072
49086,20243
48515,19965
48574,19452
47801,19673
47891,20244
48786,20125
48656,20193
49512,20293
48871,19761
48297,20567
48412,20421
48055,20561
48675,19972
48365,20441
48286,19289
48111,19852
48267,19765
48087,19812
48776,19640
49082,20336
48240,19966
47964,19804
48833,20313
47812,20511
49026,20219
47919,19912
48777,20093
48460,20220
48530,20164
47499,19622
46924,20042
48182,19772
48341,19804
48553,19979
49128,20241
48160,20207
48260,19438
49044,20037
49207,19616
48927,20039
48834,19948
48036,19951
48167,19830
48023,19856
48514,19724
47469,20165
48491,20213
48186,20230
47967,19723
48550,20277
48564,19986
48759,20700
48479,20029
48525,20060
48156,20089
47833,19827
48853,20171
47828,20489
48213,19702
48809,19781
48529,20341
49180,19676
48300,20042
47891,20004
48129,19354
48572,19669
48863,20443
47988,19583
48058,20516
48768,19964
48313,20273
48715,19762
48094,20052
47998,20238
48706,20364
49084,20086
