maleWords,femaleWords
11176,5121
11517,5194
10890,5227
10644,4943
10459,5263
10356,5048
10819,5056
10838,4857
10245,4724
11159,5034
10611,5268
10719,5518
10486,5277
10507,5147
9655,5439
10130,5432
10804,5331
10300,5066
10568,5286
10468,5383
10607,5178
10999,5107
10447,5510
10588,4785
10672,4719
10635,5250
10422,5635
10679,5298
10583,5372
10483,4819
10306,5136
10972,4843
10482,5283
10710,5494
10831,5173
10826,5074
10780,5251
10859,5229
10318,5270
10694,5139
11311,5210
10999,4788
9684,5197
9993,5279
11244,5270
10570,4825
10727,5482
11385,5259
11330,5003
10628,5019
10791,5545
10568,4896
10696,4902
10907,5166
10819,5266
10110,5398
10319,5657
9806,5270
10856,5421
10589,5804
10474,4957
11191,5110
10671,5139
10667,4878
10679,5086
10038,5512
10749,5727
10718,5466
11303,4767
10453,5471
10479,5262
10162,5117
10639,5084
10523,5207
10420,4756
10889,5319
10062,4817
11435,5506
10879,5220
10589,5121
11022,4968
11096,5415
10440,5295
10001,5731
10485,5207
10584,4826
10454,5145
10915,5370
10714,4985
10757,4844
10342,5151
9827,5282
10471,4829
11091,4752
10619,5340
10810,5351
10065,4900
10759,5253
11146,5314
10551,5467
