maleWords,femaleWords
130,10
130,10
261,10
202,10
131,0
260,0
244,10
204,10
134,10
199,0
183,0
176,0
241,0
207,10
229,0
251,0
137,0
203,0
180,10
302,10
63,10
162,0
225,0
294,10
169,10
233,0
188,0
265,10
206,0
172,0
84,0
247,10
224,10
230,10
155,10
349,10
178,0
213,0
192,10
230,10
184,0
176,10
214,0
201,0
237,0
228,10
310,0
210,10
249,0
264,0
137,10
245,0
135,0
126,10
309,10
200,10
183,10
277,10
237,0
133,0
309,10
197,10
124,0
160,0
245,0
252,10
126,10
282,0
267,0
256,0
143,10
196,10
234,0
152,0
262,10
238,0
149,10
189,0
256,10
203,0
296,0
203,0
230,10
254,10
234,10
260,10
265,0
291,0
242,10
119,10
133,10
188,0
142,0
172,0
146,10
169,0
94,0
174,10
206,10
129,0
