maleWords,femaleWords
1641,1201
1805,942
1647,1131
1626,1139
1708,1100
1571,999
1776,1120
1469,993
1750,1080
1516,1215
1649,1086
1761,1136
1884,1098
1655,1138
2019,1278
1511,1162
1536,871
1637,1157
1563,1198
1928,1027
1930,1064
2322,1232
1368,1158
1908,1168
1413,998
1493,1070
1610,1111
1561,1318
2019,1044
1509,1248
2244,1206
1862,1206
2251,1213
2078,1032
1541,1234
1438,1192
1655,1197
1625,1027
2253,954
1532,1169
1461,1101
1521,1077
1956,1218
1766,971
2136,1059
1864,1158
1503,1193
1880,1116
1595,1160
2234,1265
1808,1003
1596,1039
1929,1256
1582,1181
1774,1218
1739,1271
1925,967
1551,1128
1769,1239
1670,1072
1662,1168
1789,854
1635,1250
1598,1299
1576,1129
2159,1112
2238,1132
1982,1103
1637,1086
1840,1052
1319,1244
2006,1230
1511,1307
1618,1155
1845,1256
1501,1073
1567,1242
1632,948
1675,1310
1666,1278
1631,1133
1911,970
1796,1086
1540,1122
1820,949
1991,1247
1978,1182
1649,1061
2012,1207
1563,1124
2095,1172
1716,1054
2062,938
1615,1041
1520,1133
2178,960
1790,1072
2676,1183
1600,1126
1916,1121
