maleWords,femaleWords
17952,9012
13450,6160
16220,8004
14251,8169
17991,9631
16926,8367
14391,7911
17505,8466
17002,9079
14173,7248
17771,9535
15865,7473
15241,7983
15209,7639
14948,7398
15858,8684
16035,8054
19045,9408
13867,7484
14188,7526
15642,8422
13923,7983
13678,7171
12926,6427
20502,10415
15367,7620
15487,7954
15961,7483
17880,9725
13403,6379
16955,8274
14539,7500
17295,8749
15445,8120
15910,8568
15086,7812
17183,8888
14210,7821
15667,6827
15898,7890
14732,7838
14828,7687
14690,7460
15852,9317
14286,6007
17299,9177
17208,9280
18134,9844
13721,7224
15039,7983
15212,8075
13695,7154
18479,9024
15109,8796
15579,8862
18812,9735
16203,9014
14543,7418
12377,6885
16349,8597
15621,8807
16662,9147
14784,6947
16137,9190
15421,7291
14971,8348
18156,9948
12118,6229
17473,9758
16154,8709
16034,8240
16145,8281
16696,8778
13874,7719
16803,9053
17219,8007
15087,7778
12411,6366
12546,6386
13718,7776
14449,7877
14352,7992
17258,9310
16380,8736
18364,9832
14704,8036
12292,7397
16389,8619
15162,7902
15042,7483
16528,8398
16923,8507
16875,8951
16986,9479
16299,8175
16337,8469
14480,8076
17478,8910
15091,7000
15916,7865
