"ACTION" :1940,
"Cloud" :1530,
"Barret" :1112,
"Tifa" :981,
"Aerith" :863,
"Yuffie" :359,
"CHOICE" :319,
"STATUS" :313,
"Jessie" :301,
"LOCATION" :266,
"Biggs" :205,
"Wedge" :193,
"Johnny" :135,
"Sonon" :133,
"Security Officer" :113,
"Madam M" :103,
"Red XIII" :97,
"Kotch" :91,
"Reno" :87,
"Leslie" :78,
"Heidegger" :75,
"Scotch" :69,
"Chadley" :59,
"Sam" :55,
"Marle" :55,
"Nayo" :54,
"Announcement" :54,
"Scarlet" :53,
"Elmyra" :46,
"Sephiroth" :45,
"Security Officer (1)" :44,
"Mireille" :43,
"Don Corneo" :42,
"Hojo" :41,
"Wymer" :41,
"President Shinra" :39,
"Rude" :38,
"Jules" :35,
"Gatekeeper" :35,
"Roche" :35,
"Security Officer (2)" :35,
"Boy" :33,
"Betty" :32,
"Kyrie" :31,
"Marlene" :31,
"Damon" :29,
"New Recruit" :29,
"Zhijie" :27,
"Andrea" :27,
"Oates" :27,
"Tseng" :26,
"Honeygirl" :26,
"Corneo Lackey" :24,
"Subordinate" :24,
"Item Store Owner" :24,
"Senior Officer" :24,
"Ms. Folia" :23,
"Nero" :22,
"Jay" :22,
"Girl" :21,
"Beck" :20,
"Hoodlum" :20,
"Shinra Middle Manager" :20,
"Shinra Helicopter" :20,
"Domino" :19,
"Stablehand" :19,
"Weapons Vendor" :19,
"Barker" :18,
"Ronnie" :17,
"Corneo Lackey (2)" :17,
"Materia Vendor" :17,
"Doctor" :17,
"Guide" :16,
"Scared Man" :16,
"Old Snapper" :15,
"Polk" :15,
"Reeve" :15,
"Honeybee Receptionist" :15,
"Pharmacist" :15,
"Housemother" :15,
"Elevator" :14,
"Clothing Store Owner" :14,
"Billy Bob" :13,
"Rufus" :13,
"Gwen" :13,
"Zack" :12,
"Hart" :12,
"Johnny's father" :12,
"Old Man" :12,
"Restaurant Owner" :12,
"Engineering Officer" :12,
"Junk Dealer" :12,
"Butch" :11,
"Burke" :11,
"Moggie" :11,
"SYSTEM" :11,
"Katie" :10,
"Collaborator" :9,
"Corneo Lackey (1)" :9,
"Weiss" :8,
"Jessie'S Mom" :8,
"Teacher" :7,
"Researcher (2)" :7,
"Researcher (1)" :7,
"Palmer" :7,
"Staff (Cap)" :7,
"Souvenir Shop Owner" :7,
"Research Program" :6,
"Beastmaster" :6,
"Staff (1)" :6,
"Boy (2)" :6,
"Reporter" :6,
"Hoodlum (2)" :6,
"Undercity Resident (Cat)" :6,
"Arsenal" :5,
"Radio" :5,
"Chocobo" :5,
"Woman In Love" :5,
"Man In Love" :5,
"Sarah" :5,
"Boy (1)" :5,
"Hoodlum (1)" :5,
"Narjin" :5,
"Security Officer (3)" :5,
"Combat Simulator" :4,
"Server" :4,
"Robot" :4,
"Neighborhood Watch Member (Male 3)" :4,
"Boy (Vision)" :4,
"Poet" :4,
"Womanizer" :4,
"Loitering Man" :4,
"Clothing Store Owner'S Son" :4,
