id,name,levelobjectid,charactername,gender,characterdescription,speechpattern,accent,race,appearance,characterarchetype,charactertype,ttsvoice,subcharacters,voices,agerange,isplayer,voeligible,member
e1d4a4ab-e9eb-daa9-f9b1-6e6d9ff9459f,,DA3/designcontent/Conversations/Cre_keep_spy_09,,Crestwood Spy 09,Male,"A professional spy, working for the Inquisition.",,British,Human,,,Minor,,,,1E,False,True,
caf30296-8103-d1f7-1f7f-402e1f608929,,FollowerPlots/Cassandra/cas_romance_gardner,Gardner,Elven Gardner,Female,"An elven gardner in charge of supplying flowers to the Winter Palace. She is pious, a true believer proud of her work.",,French,Elf,,,Minor,Heather22k_HQ,,,28,False,True,
11534e6c-7580-4ad2-b943-8394f86d7719,,global/Hero,,,Male,,,,,,,,,,,,,,
0,,None,,,Male,,,,,,,,,,,,,,
9791599f-1f7c-6885-5193-b8f69943098a,,FollowerPlots/Odette/odt_butler,,Valet,Male,A servant in the household of Duke Bastien who introduces the player to Vivienne's salon.,,French,Human,,,Minor,,,,28,False,True,
857ecc32-a0b6-07f8-e8bc-80907a848732,,FollowerPlots/Odette/odt_comte,,Comte Marcellin,Male,A minor noble attending a salon hosted by Vivienne.,,French,Human,,,Minor,Graham22k_HQ,,,23,False,True,
c5355ad9-3bf4-d0e6-f1c9-270c5e5eb77f,,FollowerPlots/Odette/odt_comtess,,Comtess Elodie,Female,,,French,Human,,,Minor,,,,14,False,True,
715eff05-7ad0-be0e-6f38-265c72ff6184,,FollowerPlots/Odette/odt_marquis,,Marquis Alphonse,Male,A minor nobleman attending Vivienne's salon who attempts to provoke the player into a duel.,,French,Human,,,Minor,PeterHappy22k_HQ,,,19,False,True,
f43170d3-52b2-8d4f-4b81-3ace61617f8b,,Global/mister_temp,CINEMATIC,CINEMATIC,Male,"This character owns all non-VO action lines. Used only so it displays on-screen during testing, prior to cinematics being completed.",,,,,,Minor,,,,00,False,True,
366817c0-50fc-3a91-61f3-fcfd01ff2fe2,,Global/Followers/Vivienne,Vivienne,Vivienne,Female,"She is refinement. A commoner, born in the Free Marches, who has risen through the Orlesian Imperial Court, mistress of a powerful noble on the Council of Heralds, official Enchanter of the Imperial Court â a position now threatened by Morrigan â and leader of the last remnant of the Circle. She is connected. She knows anyone, can befriend anyone, and if she canâtâ¦ well, she can manipulate them instead. She is ruthless and will do anything to accomplish her goals.

Vivenne is somewhere between Mrs. Coulter and the Wicked Queen from Snow White. Elegant and charming with a heart of solid ice and an obsessive need for order. She is never direct. She will not antagonize an Inquisitor for disagreeing with her. She will try to charm her adversaries first, and if that fails, resort to guile and manipulation. When she does criticize, it is through catty, biting comments. Her temper, though rarely seen, is utterly terrifying.","Educated, superior, extremely polished.",British,Human,,,Major,Deepa22k_HQ,,,27,False,True,
