id,type,label
13F2F5C731A4C648AB84792813E503B7,INT,DAO - What was the Warden's class? (1=Rogue, 2=Mage, 0=Warrior)
45FE541FAFB6B54CA1D6C9143209017E,BOOL,DAO - Warden is Warrior?
F66FB0F75080D944828E43DF935401BE,BOOL,DAO - Alistair is Drunk?
DDD0A0C9FFE76248A1B017E4DF9501FD,BOOL,DAO - Warden married Alistair?
CD5A9FA38E822E40A0EE732C1F9F01E5,BOOL,DAO - Wardens background is Dalish Elf?
4CFEDF857F0E17429EDA7B4131B801B1,BOOL,DAO - Zevran Recruited?
D917278ACA4F794CAAAF3FD9B1F4034A,INT,DAO - How did the Warden handle Cammen's broken heart?  (2=S/he brought them together, 0=S/he didn't encounter Cammen and Gheyna, 1=S/he broke them up)
FB864FC585EC3C44A9BFA242D65A01F3,BOOL,DAO - Did the Warden help Zerlinda reconcile with her family?  (1=Yes, No=0)
C64E8267B1F5A3468BA9A35724F5015C,BOOL,DAO - Did the Warden go through the Eluvian with Morrigan?
C577583C0B5F59488070943AA0330164,BOOL,DAO - Did the Warden bring the ancient encrypted scroll to Sister Justine in Denerim?
6772400DC1178343A5C2B483F0110325,INT,DAO - How did the Warden resolve the problems between the werewolves and the elves? (0=S/He brokered peace between them, 1=S/He sided with the werewolves, 2=S/He sided with the elves)
70478B8376CA604D83CE4CD41C3B0304,INT,DAO - What happened to Zevran? (1=He is alive and well, 0=He died)
19F2FF38269E734384E7052CD5560190,BOOL,DAO - Did First Enchanter Irving survive the battle against Uldred?
1AC61EB222FD4E439CEC78C583CF03A4,INT,DAO - Did the Warden return Sten's sword to him? (0=The Warden did not recruit Sten, 1=No, 2=Yes)
BFD23D87F095174E82D1E74A9119033F,INT,DAO - What happened to Alistair? (4=He becomes a drunk, 3=He stays with the Wardens, 0=He dies killing the Archdemon, 2=He becomes King, 1=He is executed
7BDBAED03933F44F9F30318BFA840313,INT,DAO - What happened to Connor? (2=He is alive and still possessed, 1=He is alive and no longer possessed, 0=He died)
F045A4D257C84D408715D6C717C20391,INT,DAO - What was the Warden's background? (0=Human noble, 5=Dwarf noble, 3=City elf, 1=Human mage, 2=Dalish elf, 4=Elf mage, 6=Dwarf commoner)
