id,type,label
C3947CF6CB44EA4EB42BEAB3F2830359,INT,Starting Inventory amount - 60
552DA729B061AF48B71A5F903C1D03C9,INT,Amount to increase inventory by with Inquisition Perk - 15
30511EE6066EEE40B4E270DA3948022E,FLOAT,Global Sell Price Multiplier - 1.0f
E024158C1C9ED645834835BC9F5B02AD,FLOAT,Global Buy Price Multiplier - 1.0f
B43DDC77B8747F4D8F023A835C3A03C5,INT,Number of shards required to open door 1 - 6
67A2ECDE05AEB54DA5DE86CB81010354,INT,Number of shards required to open door 2 - 12
418C9E1147577D4A842929444F1F030B,INT,Number of shards required to open door 3 - 18
E560D49FF9E2D84D8FD44E285F470315,INT,Total dragon count  - 10
88112A603BDFBA4E91C643D5A22C039F,INT,Total region count in Crestwood - 30
B5C70DC30D6F7B4C9DB56E4E508B031C,INT,Total region count in The Dales Highlands - 30
949705E5DF8C0445A84857F9F6970312,INT,Total region count in The Dales Plains - 30
D70F9FCF76FAD2468C131568F94503F5,INT,Total region count in The Western Approach - 25
66CD392773D31F4F872C83DF49880302,INT,Total region count in the Desert Ruins - 30
2776C310084868429C76A31A60330390,INT,Total region count in the Oasis - 30
2DF8B8B285F5FF48A03F4F9FC96C0389,INT,Total region count in the Bog - 30
ED4CD09E020BB74496F4D26CCA5A037D,INT,Total region count in the Storm Coast - 11
0C2CF5D379F94B448D6FA96FBCBD0376,INT,Total region count in the HINTerlands - 30
A984106CBD478746A66D95D6E7D90397,INT,Total region count in the Dales Forest - 30
3A4198C2969AD2489A22BD83C72C0373,INT,Max positive approval amount - 125
1D367816A5B3564ABEF20A0F7A990355,INT,Max negative approval amount - -75
A20C11343404D943AA12541CD5EC0346,INT,Low Inc/Dec approval amount - 1
2CA05E4C5B47164EB645D543ADB703E0,INT,Medium Inc/Dec approval amount - 5
6AECB822E83F1143B353770DB4C603F7,INT,High Inc/Dec approval amount - 20
194C3649252090458C5EAB74ECEA03FF,INT,Total Bottles - 29
2D77EF811D6F4C488A15A63334C00287,FLOAT,Connections/Forces/Secrets Discount Increment Amount - 0.05f
1685ED544269704F9D354834BCE403D9,INT,Mosaic - The Fall max count - 12
D339EFBC0776B6499DB3B11F5C7503A0,INT,Mosaic - Dragon max count - 12
21896FEE677BFF4D8D56694EFE1B03C2,INT,Mosaic - Invasion max count - 12
CF2E09647CEEB245A9BD44BF72260374,INT,Mosaic - Sacrifice max count - 12
B9CB7642FA1A674095E61914636D03FE,INT,Mosaic - Vanquish max count - 12
54CFA269FAEE88469DEDA794CBC5034F,INT,Current Gold
AB1E9A19EA756F4F9CC7A77080C003A3,INT,Current Fade Shards
555A343CABC0EA449ECAD575E8320333,INT,Total Fade Shards
EAFA732B083891479EB603D71D5F0340,INT,Total Rifts Closed
6FF40F6B0EEE4F4AAF177DB94F020348,INT,Total Dragons Killed
E70F2FB25CC758499C8E6A9CB8D603AB,INT,Total Crestwood Regions Discovered
A900FD5C2E50554C892C2DAE683603DF,INT,Total Dales Highlands Regions Discovered
AC7908248543DD4B9C411D5243A90392,INT,Total Dales Plains Regions Discovered
E322A212CF5FDB41B2CDC0B4B3FB0364,INT,Total Western Approach Regions Discovered
