CharName,Line,LastNamedChar,LastButOneNamedChar,location
UnknownChar0,Yuri! This is not good!,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_010
UnknownChar1,"Ted! Ted! You get down here! They need your help, too!",Ted,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_010
UnknownChar2,"Yeah, but you're late so I'm not sharing.",Yuri,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar3,"Hey, its sink or swim in this world.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar4,Looks like that blue-blooded mage we hired to fix the blastia left the job half done.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar5,He feels responsible. He's the one who pushed the people to get the money together for the repairs.,Yuri,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar6,That's true. He even parted with his wife's keepsake to help raise the money.,Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar7,He always seems to cause problems when the lower quarter's involved.,Hanks,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar8,"Well, it's just an average day for Yuri. I'm sure he'll be fine.",Hanks,Hanks,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_020
UnknownChar9,"Hey, you hear about the blastia in the lower quarter?",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar10,"Yes, I heard something about it breaking and them collecting money to fix it.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar11,"That's right, I hear that lot went so far as to sell their treasures to save up the money.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar12,"Treasures, sir?",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar13,"Worthless junk, nothing more. They wouldn't have gotten more than one Gald for them.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar14,"Not even one Gald?! I can't imagine what sort of treasures those would have to be. I'd like to have a look, myself ... ",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar15,"I'm telling you, nothing but junk! Heh heh ... ",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar16,Ack!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar17,What the ... Who's there?!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar18,Oof!,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_010_030
UnknownChar19,"So like I was sayin', the thief made off with a priceless treasure from that noble's mansion.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar20,"I know, I know. Then he was caught, and the loot was returned, right?",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar21,"No. See, that's just nobility tryin' ta keep things quiet. The treasure in the mansion right now's a fake.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar22,You're pulling my leg.,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar23,"Hey, ya didn't hear it from me, bub. The Dark Wings are goin' nuts lookin' for the hideout.",,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar24,You mean the thieves' guild?,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar25,Ahem! That's enough out of you. Almost meal time.,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar26,Hey neighbor! You're awake right? You gotta be gettin' tired from keepin' so quiet.,,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar27,“Old man?” Now you've gone and hurt this old man's feelings.,Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar28,"Besides, I didn't make up nothin'. I've got eyes and ears the world over diggin' up information for me.",Yuri,,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar29,"Hey, I am what I am. Go ahead and ask me something. I'll tell ya whatever ya want to know.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar30,"Wanna know about the pirate guild's sunken treasure? How 'bout the sorcerer who makes his home at the ends of the earth? Or wait, I've got it ... ",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar31,"Well I'm not sure what yer in for, but they'll let ya out if ya keep yer trap shut for ten days.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
UnknownChar32,"The lower quarter ... Ah yeah, I heard about that.",Yuri,Yuri,https://hyouta.com/vesperia/?version=ps3pe&locale=jp&compare=c2&section=scenario&name=EP_030_010
