"Yuri" :6589,
"Karol" :3910,
"Rita" :3528,
"Estellise" :3510,
"LOCATION" :3194,
"Raven" :2342,
"Judith" :2264,
"Patty" :1374,
"Flynn" :1205,
"Repede" :443,
"SYSTEM" :265,
"Duke" :254,
"Kaufman" :191,
"Sicily" :141,
"Alexei" :141,
"Sodia" :139,
"Leblanc" :135,
"Ioder" :122,
"Rich" :117,
"Don Whitehorse" :110,
"Drake" :102,
"Nan" :100,
"Hanks" :99,
"Wonder Chef" :85,
"Lewis" :84,
"Witcher" :77,
"Cumore" :76,
"Nobis" :74,
"Zagi" :73,
"Karen" :72,
"Natz" :67,
"Adecor" :67,
"Barbos" :63,
"Boccos" :62,
"Agueron" :57,
"Sylph" :56,
"Ragou" :53,
"Yeager" :52,
"Clint" :51,
"Mimula" :49,
"Tison" :46,
"Jim" :45,
"Rhianna" :44,
"Undine" :41,
"Harry" :41,
"Daniel" :38,
"Miska" :37,
"Belius" :37,
"Teagle" :37,
"Ted" :37,
"Ohma" :36,
"Yu" :36,
"Dyne" :35,
"Tort" :35,
"Markham" :33,
"Phaeroh" :33,
"Gauche" :32,
"Regaey" :31,
"Giovanni" :30,
"Shel" :29,
"Droite" :28,
"Sassoon" :26,
"Irmine" :26,
"Lune" :22,
"Kellas" :22,
"Sebastian" :20,
"Zarashawn" :19,
"Khroma" :19,
"Wonder Reporter" :18,
"Karolow X" :18,
"Barrelow X" :18,
"Clay" :18,
"Schwann" :18,
"Sordeth" :16,
"Joshua" :16,
"Chastel" :15,
"Hisca" :15,
"Efreet" :15,
"Pauly" :15,
"Dedecchi" :13,
"Mimi" :12,
"Yuefan" :12,
"Healas" :11,
"Seifer" :11,
"Tokunaga" :11,
"Ba'ul" :10,
"Alph" :9,
"Cotton" :7,
"Cruz" :5,
"Minion" :5,
"Dark Lord" :5,
"Celica" :4,
"Princess" :4,
"Heroine" :4,
"Narrator" :3,
"Layla" :3,
"Everyone" :2,
"Shiva" :2,
"ACTION" :2,
"Astal" :2,
"UnknownChar3031" :1,
"UnknownChar3030" :1,
"UnknownChar3029" :1,
"UnknownChar3028" :1,
"UnknownChar3027" :1,
"UnknownChar3026" :1,
"UnknownChar3025" :1,
"UnknownChar3024" :1,
"UnknownChar3023" :1,
"UnknownChar3022" :1,
"UnknownChar3021" :1,
"UnknownChar3020" :1,
"UnknownChar3019" :1,
"UnknownChar3018" :1,
"UnknownChar3017" :1,
"UnknownChar3016" :1,
"UnknownChar3015" :1,
"UnknownChar3014" :1,
"UnknownChar3013" :1,
"UnknownChar3012" :1,
"UnknownChar3011" :1,
"UnknownChar3010" :1,
"UnknownChar3009" :1,
"UnknownChar3008" :1,
"UnknownChar3007" :1,
"UnknownChar3006" :1,
"UnknownChar3005" :1,
"UnknownChar3004" :1,
"UnknownChar3003" :1,
"UnknownChar3002" :1,
"UnknownChar3001" :1,
