maleWords,femaleWords
5689,861
5767,954
6221,1013
5776,1021
5480,707
6008,589
6180,736
6198,678
5753,853
5611,774
5737,904
5933,944
5239,922
5662,824
5005,637
6196,630
6043,915
6017,604
5661,697
5751,931
5724,755
5449,889
5682,883
5833,622
5493,880
5556,765
6443,720
5975,675
6317,818
5125,674
5999,747
6093,814
5810,1043
5927,947
5369,1007
5693,702
5666,557
5497,465
5814,935
5300,779
5330,883
5959,765
5212,735
6031,801
6016,687
5699,780
5566,679
5458,601
5713,762
5699,739
5598,866
5898,775
5816,743
5984,1023
5761,830
5673,789
5937,589
5975,821
5597,847
5755,676
5608,793
5781,764
5594,701
6159,576
5679,992
5676,756
5746,829
6000,899
5987,654
5944,769
5647,799
5513,911
5305,978
6162,1000
5591,548
5502,898
5270,736
5604,867
5884,880
5942,858
5631,863
5912,879
6007,791
5775,769
5726,660
5865,603
5824,839
5921,750
5875,673
5707,868
5862,859
5527,813
6237,809
5846,1101
6069,770
5633,698
5881,561
5493,714
6060,658
5784,779
