name,gender,offer,accept,refuse
00B00Y00#_questgiver_,male,"We have but one rule at the School of Julianos -- knowledge is to be shared. Unfortunately, we have a former member of our order who has forsaken this rule and needs to be punished. If we offered you _reward_ gold pieces, would you pursue and slay this erstwhile member of our School?","Good. The prodigal one is a nightblade called =monster_ who has taken refuge in %g3 laboratory, ___mondung_. If you have not returned in =1stparton_ days with _monster_'s blood on your hands, we will assume you have failed or have joined =monster_ and your reward will be forfeited to someone who will not fail. I trust I've made myself clear. Good luck and goodbye.","Disappointing. Well, we'll find someone else doubtlessly."
10C00Y00#_qgfriend_,random,"Oh, yes my dear, I think I can help you with your ambition. If I give you something quite valuable, will you do something for me first?","You will? Oh, that's very sweet. Much sweeter than a certain _monster_ I know named =monster_, who made a certain arrangement with me, but decided later to renege. If you would be so kind as to pay =monster_ a visit in ___mondung_ and let %g2 know that such ungallant behavior is fatal. Then go to my dear friend, _qgfriend_, who will wait for =1stparton_ days for you at __qgfriend_ in ___qgfriend_, and give you my _artifact_ when you arrive. It's just the thing you need. Now, you'd best be off. Be careful.","Oh, that's a shame. As a friendly warning, bad things happen to greedy %ra adventurers willing to take, but not willing to give."
30C00Y00#_questgiver_,random,"The desire for power gnaws at the gut, does it not, %pcf? I can see it does. Excuse my informality, but I feel like I know you, I recognize your craving as if it were my own. You want to control, and the thought makes you slaver like a starving wolf. I can fill your belly, but first, I need to know. Will you kill in order to fill this void?","Wonderful. You should see the look in your eyes, %pcf. You will be mighty, I can see it in them. Now, your stepping stone to power is a vampiric ancient who has displeased me, =monster_. Know that %g is a mighty adversary, and %g3 asylum, ___mondung_, is well protected. But you can and will kill %g2. Once you have, go to my darling friend, _qgfriend_ over at __qgfriend_ in ___qgfriend_. _qgfriend_ is a busy person, so don't keep %g2 waiting more than =1stparton_ days. _qgfriend_ will have a present for you that I think will make you very happy. Farewell, %pcf. We will meet again, I know.","No?! Now you taunt me, %pcf. You tempt me out of my dark palace and then shun my company. If I thought you were merely being cruel, I could respect it. But I suspect that you are actually stupid, which I cannot abide. Therefore, I bid you a most disgusted goodbye."
40C00Y00#_questgiver_,random,"You wish, %pcn, for power. With it you can thrash at shadows and have a hope. If I brought you this hope, what would you bring me? Would you destroy one who brings me pain?","Would you? You would be my anesthesia? You will go to the lair of the _monster_ =monster_ at ___mondung_ and slay %g2? Ah, %pcf, for that I would give to you my _artifact_ which I have entrusted to my slave _qgfriend_. After =monster_ lies dead, go to ___qgfriend_ and meet my slave at __qgfriend_. You will recognize %g2 easily - a =qgfriend_. There you will receive the _artifact_. And now, I must return to my cold palace of Oblivion. I will await news.","As I thought, no heart at all. We shall have no contract then, you and I, and, disappointed, return I to my cold palace. The souls within are no kinder than those here, but there, they follow."
60C00Y00#_qgfriend_,random,"Oh, my. I bet ye weren't expecting me! My unbrothers and nonsisters are sometimes a bit slow, so I step in for them. Too bad for thou. You'll just have to cut thy deal with me. Be quick about it! Before the hour of the pale be passed, have I plenty to do elsewhere. So! Power the %ra craves to rub on the body and ease the four hundred sores of mortal life? Yes, Sheogorath has power, power enough to pull the branches across the eyes of the moon and rain blood over Tamriel. For this power, wilt thou send someone an invitation to tea for me?","To tea, to a tea party with me! Go, go to a place called ___mondung_, where the object of my gallous desires doth trip and pose and wear blackberry crowns. Wait ... do not invite this battlemage to tea with me. Now I remember. This =monster_ the name is. Kill %g2 to death, murder %g2 fatally, that's what I wish. Then go from ___mondung_ to a lunatic asylum called ___contactdung_ and see my =qgfriend_, _qgfriend_. _artifact_ for you %g will have. Will wait for you for =1stparton_ days and then will go to marry the unknown heir of Rowanda. Now I bid you a yapow and gazeenza.","La, rejected by a squalid %ra with lice in its hair. How far has Sheogorath risen! I shall have to ask for a raise in my allowance. Tirrah, %pct."
70C00Y00#_contact_,random,"Power is such a lovely word, isn't it? It drips from the tongue like honey. If power is your aphrodisiac, I would be ecstatic to present you with _artifact_. All you have to do for me in return is punish a perfectly awful priest who dared to challenge me. Sounds good to you?","You won't regret this, %pcf, provided you fulfill your end of our agreement. This sanctimonius monk is not harmless; =monster_ is %g3 name and %g burned my lovely worshippers to crisps. Go to the abandoned temple where %g lurks, ___mondung_, and rip %g3 heart from %g3 chest. My agent, _contact_ will await you in ___contact_. _contact_ does not like to wait so accomplish the murder in =1stparton_ days or less. I have the delicious feeling we'll see each other again, %pcf. I hope so.","A pox on you, %pcn. How dare you summon me forth and refuse my generous offer? Pray that I forgive you, %pcf. Sanguine is an enemy none should have."
90C00Y00#_qgfriend_,random,"A very wise %ra once said that power corrupts, and absolute power is absolutely fabulous. That's why I am going to help you. Now, I'm sure you have certain moral problems with murdering an innocent who never hurt you in any way. But you'll do it to win my Skull of Corruption, yes?","Grand. The particular innocent I have in mind is a _monster_. You're probably thinking, an innocent lich? Well, innocent to you. To me, he is a treacherous former servant who took all the power I offered him, and ignored my orders. You will find his cadaverous presence in ___mondung_. He's nervous, so be ready for a battle. After your victory, go to ___qgfriend_, and look for my servant _qgfriend_, a =qgfriend_ at __qgfriend_.","No? Why ... you ... contemptible, sniveling, virtuous, sterling piece of goblin snot! I'm not going waste my precious time with anyone so poisonously moral."
A0C00Y00#_qgiver_,random,"My name is _qgiver_. I have a mission that requires the utmost stealth and secrecy. The risk is minimal, and I will pay you _gold_ gold pieces. It will only take =traveltime_ days of your time. I cannot tell you more unless you accept this mission. // Hullo there, young %ra. How would you like to make _gold_ gold pieces just by performing what I'm told is called in mercenary circles ""the old switcheroo""?","Go to _inn_ in __inn_. Lodged there is a courier bearing a letter. Take it and leave this false one in its place. Do not disturb any of his belongings. If he finds out that the letter has been switched, all of my plans will be ruined. If you are caught, don't bother trying to find me.","I understand. I am glad that I did not reveal any details to you. Now you cannot betray me. // Very well, but lack of ambition may well be your downfall, my young friend."
A0C00Y06#_qgiver_,male,"My name is _qgiver_. My master has asked me to find a brave adventurer for a dangerous mission. I cannot tell you more, other than to say that it is worth _gold_ gold pieces to whoever succeeds. Are you interested?",Go to _meetingplace_. There you will find my master.,I shall seek elsewhere for a hero to fulfill my master's quest.
A0C00Y07#_qgiver_,male,"I need help. _qgiver_ at your service, although I hope yours will be at mine. _house_ is infested with monsters. Can you kill them for me? I can pay you _gold_ gold pieces.","Thank you, thank you, thank you! If they are not gone by this time tomorrow, I'll be ruined.",I need help! Won't somebody help me?
