maleWords,femaleWords
833,89
806,89
859,106
846,106
800,106
786,89
807,89
734,89
808,106
794,89
913,89
847,106
816,106
778,106
751,89
776,89
900,89
792,106
834,89
792,106
729,89
792,106
785,89
887,106
777,89
800,89
876,106
825,89
748,89
821,89
796,106
899,106
722,106
801,106
791,89
790,106
850,106
818,106
846,106
812,89
852,89
781,89
756,89
810,89
847,106
878,89
735,106
795,89
814,89
853,89
790,106
911,89
792,106
803,106
899,89
761,106
863,89
788,106
791,106
841,89
741,89
847,106
806,89
803,106
763,106
770,89
790,89
818,89
913,106
812,106
879,106
794,89
803,106
783,106
817,89
809,106
868,106
910,106
766,106
870,106
920,106
824,89
860,89
776,89
801,106
863,89
786,89
755,89
808,106
858,89
792,106
752,106
816,89
832,106
772,89
716,106
737,89
930,89
862,89
890,89
