maleWords,femaleWords
612,227
626,194
568,372
515,338
627,192
599,209
524,237
559,160
621,304
590,291
619,239
582,356
674,212
622,360
576,206
516,256
597,209
604,290
584,297
584,374
603,215
602,380
553,149
531,196
498,202
615,307
585,214
637,195
536,362
588,251
606,299
600,177
528,298
595,187
556,362
553,194
617,192
555,391
652,311
590,151
586,355
602,218
559,159
597,291
611,191
573,129
569,247
673,377
589,269
541,225
625,220
547,289
616,192
594,181
603,225
572,227
627,278
582,298
524,247
543,355
505,108
583,265
623,248
539,300
601,350
542,333
576,276
531,274
551,323
588,359
567,297
634,308
512,200
501,377
593,281
630,187
525,358
547,261
583,164
550,191
579,143
596,230
570,310
602,288
611,377
579,318
581,195
584,314
563,250
613,233
537,320
550,295
638,307
614,371
574,196
521,241
584,275
610,243
602,287
579,306
