folder,series,game,from,to,frequency
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,-,-,1
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,-,female,85
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,female,female,519
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,female,neutral,59
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,neutral,male,113
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,male,-,156
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,female,male,708
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,male,female,685
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,female,-,72
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,male,male,828
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,male,neutral,127
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,neutral,-,54
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,-,neutral,45
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,-,male,129
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,neutral,female,64
../data/ChronoTrigger/ChronoTrigger/,Chrono Trigger,Chrono Trigger,neutral,neutral,72
