"charName","gender","eng_word","eng_syll","eng_char","jap_char","jap_romaji","jap_kana","jap_word","re_word","re_syll","re_char","re_comment","eng","jap","re","RetranslatorComment"
"LOCATION","none","3","5","17","9","28","15","5","6","11","37","0","The Millennial Fair","旅立ち！夢みる千年祭","Setting Out! The Dreamy Millennial Festival",""
"crono's mom","female","5","6","28","13","23","13","4","4","4","20","0","Crono... Crono! Good morning, Crono!","「クロノ…… クロノ！ クロノったら！","Crono...... Crono! Hey, Crono!",""
"lara","female","6","6","22","18","30","18","4","8","10","34","0","Come on, sleepy head! Get up!","いつまでねてるの？ いいかげん起きなさい！","How long are you sleeping? Get up already!",""
"lara","female","7","10","37","24","45","26","9","7","8","37","0","Ah, Leene's Bell makes such beautiful music!","ああ、リーネの鐘があんなに 気持ちよさそうに歌ってる。","Ahh, Leene's Bell is singing so pleasantly.",""
"lara","female","22","28","98","65","122","72","17","38","48","173","0","You were so excited about the Millennial Fair that you didn't sleep well, did you...? I want you to behave yourself today!","どうせゆうべ、こうふんして ねつけなかったんでしょ？ ま、建国千年のお祭りだから 無理ないけど…… あんまり調子に乗って ハシャぎすぎるんじゃないわよ！","I'll bet you wound up too excited to get to sleep last night, didn't you? Well, it's the National Foundation Millenial Festival, so that's only natural, but...... Don't get caught up in the moment and party too much!",""
"lara","female","4","5","18","11","17","11","4","5","6","19","0","Let's get moving, now!","さ、いいかげん起きなさい！","Come on, get up already!",""
"lara","female","18","23","81","50","89","52","16","26","30","116","0","Finally! By the way, that inventor friend of yours... Uh...you know...! Oh, dear, I've forgotten her name!","やっと起きたのね。 そうそう、あの、おさななじみの 発明好きな子…… アラ、ドわすれしちゃったわ。 なんていったっけ、あの子？","I see you finally got up. Oh yes, your childhood friend, that girl who likes inventions...... Oh, it's slipped my mind. What was that girl's name?",""
"lara","female","14","18","65","19","35","21","7","10","14","56","0","That's right, Lucca! Don't forget that she invited you to see her new invention!","そう、ルッカ！ ルッカの発明、見に行くんでしょ？","That's right, Lucca! You're going to see Lucca's invention, right?",""
"lara","female","8","10","34","24","38","24","5","12","12","44","0","Run along now, and be back before dinner.","あんまり、おそくならないようにね。 さ、行ってらっしゃい。","Make sure not to be too late. Well, I'll see you later.",""
"lara","female","16","20","68","35","54","37","11","14","15","59","0","Oh, I almost forgot! Here's your allowance, dear! Have fun at the fair! Received 200 G!","あっ、そうそう。 はい、おこづかい。 お祭り楽しんでらっしゃい。 200Gを手に入れた！","Oh yes, that's right! Here's your allowance! Have fun at the fair! Got 200G!",""
