maleWords,femaleWords
22305,8935
21396,8240
20931,8345
23050,8615
22298,9151
21657,8950
21484,9046
21576,8583
22763,8620
21910,8512
21099,8701
21045,8856
21952,8500
21339,8971
20719,8619
23120,8250
21234,8708
23274,8865
21582,8628
22341,8634
22267,8680
22105,8366
21961,8932
22076,8328
22485,8695
22382,8623
21781,8748
21902,8617
22236,8287
20965,8734
21935,8764
21296,8646
21947,8314
21654,8399
21234,8828
21200,8271
20356,8751
22213,9167
21793,8852
21519,9298
22044,8426
22330,8892
21640,7644
20578,8877
22116,8413
21339,8611
20851,8892
22442,8650
22063,7750
21263,8265
21460,8225
21334,8073
22305,9060
21315,8205
21306,8342
21862,8905
21074,8433
21981,9032
21090,8170
21967,8776
21515,8671
22751,8952
21302,8240
20214,8345
23006,8686
23603,8631
22142,8544
21703,8169
21317,8248
21265,8998
20874,8313
22043,8623
22322,8500
21775,8370
22589,8300
20652,8661
22066,8440
22776,8114
21570,8766
20965,8567
21046,8851
21907,8658
22072,8868
21696,8270
20803,8695
21418,9143
21819,8088
21245,9009
22143,9180
22108,8275
21451,8575
22120,8724
22565,8406
22847,8575
21616,8059
22035,8384
22038,8228
21159,9569
20984,8505
21496,8620
